315,HMDB,HMDB06219,39,0
316,KEGG,D00348,39,0
317,EHMN,CE2952,39,0
318,CHEBI,6067,39,0
319,PubChem,5282379,39,0
320,KEGG,C03691,3259,0
321,EHMN,C03691,3259,0
322,CHEBI,18098,3259,0
323,PubChem,656501,3259,0
324,HMDB,HMDB00042,467,0
325,KEGG,C00033,467,0
326,EHMN,C00033,467,0
327,CHEBI,15366,467,0
328,PubChem,176,467,0
329,HepatoNet,HC00042,467,0
330,HMDB,HMDB00122,3025,0
331,KEGG,C00031,3025,0
332,CHEBI,4167,3025,0
333,PubChem,5793,3025,0
334,HepatoNet,HC00040,3025,0
335,EHMN,CE5314,1801,0
336,HMDB,HMDB00092,2641,0
337,KEGG,C01026,2641,0
338,EHMN,C01026,2641,0
339,CHEBI,17724,2641,0
340,PubChem,673,2641,0
341,HMDB,HMDB06841,5063,0
342,KEGG,C03845,5063,0
343,EHMN,C03845,5063,0
344,CHEBI,16608,5063,0
345,PubChem,101770,5063,0
346,HMDB,HMDB00172,3648,0
347,KEGG,C00407,3648,0
348,EHMN,C00407,3648,0
349,CHEBI,17191,3648,0
350,PubChem,6306,3648,0
351,HepatoNet,HC00334,3648,0
352,HMDB,HMDB02095,994,0
353,PubChem,22833583,994,0
354,HMDB,HMDB01373,2706,0
355,KEGG,C00882,2706,0
356,CHEBI,15468,2706,0
357,PubChem,444485,2706,0
358,HMDB,HMDB00133,3139,0
359,KEGG,C00387,3139,0
360,EHMN,C00387,3139,0
361,CHEBI,16750,3139,0
362,PubChem,6802,3139,0
363,HepatoNet,HC00322,3139,0
364,HMDB,HMDB06526,3880,0
365,KEGG,C16529,3880,0
366,PubChem,53477849,3880,0
367,HMDB,HMDB13030,1876,0
368,EHMN,CE5538,1876,0
369,PubChem,10176277,1876,0
370,HMDB,HMDB12937,1486,0
371,EHMN,CE4754,1486,0
372,PubChem,53481557,1486,0
373,HMDB,HMDB06355,3022,0
374,KEGG,C02670,3022,0
375,CHEBI,18268,3022,0
376,PubChem,92283,3022,0
377,HMDB,HMDB01347,3670,0
378,KEGG,C00129,3670,0
379,EHMN,C00129,3670,0
380,CHEBI,16584,3670,0
381,PubChem,1195,3670,0
382,HepatoNet,HC00127,3670,0
383,EHMN,C00195,2355,0
384,CHEBI,52639,2355,0
385,HepatoNet,HC01990,2355,0
386,HMDB,HMDB02111,3188,0
387,KEGG,C00001,3188,0
388,EHMN,C00001,3188,0
389,CHEBI,15377,3188,0
390,PubChem,962,3188,0
391,HepatoNet,HC00011,3188,0
392,HMDB,HMDB12608,2052,0
393,EHMN,CE6184,2052,0
394,PubChem,53481490,2052,0
395,HMDB,HMDB00217,4137,0
396,KEGG,C00006,4137,0
397,EHMN,C00006,4137,0
398,CHEBI,18009,4137,0
399,PubChem,5886,4137,0
400,HepatoNet,HC00016,4137,0
401,HMDB,HMDB12253,4010,0
402,KEGG,C01936,4010,0
403,EHMN,C01936,4010,0
404,CHEBI,61953,4010,0
405,PubChem,439606,4010,0
406,HMDB,HMDB06292,2500,0
407,KEGG,C05337,2500,0
408,EHMN,C05337,2500,0
409,CHEBI,28701,2500,0
410,PubChem,11953854,2500,0
411,HepatoNet,HC01426,2500,0
412,HMDB,HMDB00124,2815,0
413,KEGG,C00085,2815,0
414,EHMN,C00085,2815,0
415,CHEBI,15946,2815,0
416,PubChem,69507,2815,0
417,HepatoNet,HC00088,2815,0
418,HMDB,HMDB03537,2630,0
419,KEGG,C01345,2630,0
420,EHMN,C01345,2630,0
421,CHEBI,28807,2630,0
422,PubChem,146302,2630,0
423,HMDB,HMDB00638,2527,0
424,KEGG,C02679,2527,0
425,EHMN,C02679,2527,0
426,CHEBI,30805,2527,0
427,PubChem,3893,2527,0
428,HMDB,HMDB01431,4513,0
429,KEGG,C00534,4513,0
430,EHMN,C00534,4513,0
431,CHEBI,16410,4513,0
432,PubChem,1052,4513,0
433,HepatoNet,HC00416,4513,0
434,HMDB,HMDB06343,4632,0
435,KEGG,C05699,4632,0
436,EHMN,C05699,4632,0
437,CHEBI,26630,4632,0
438,PubChem,98223,4632,0
439,HMDB,HMDB00951,4758,0
440,KEGG,C05465,4758,0
441,EHMN,C05465,4758,0
442,CHEBI,16525,4758,0
443,PubChem,387316,4758,0
444,HepatoNet,HC01471,4758,0
445,HMDB,HMDB03141,1454,0
446,KEGG,C11061,1454,0
447,EHMN,CE2959,1454,0
448,CHEBI,28870,1454,0
449,EHMN,CE5154,1705,0
450,EHMN,CE4798,1503,0
