cid,old_cid,rid,old_rid,sch,ismain
630,',67,1103,1,'
3550,',67,1103,1,'
151,',68,',1,'
3173,',68,',1,'
216,',69,',1,'
3182,',69,',1,'
219,',70,',1,'
4121,',70,',1,'
3173,',71,',1,'
3550,',71,',1,'
225,',72,',1,'
4196,',72,',1,'
246,',73,',1,'
3182,',73,',1,'
4121,',73,',1,'
235,',74,',1,'
238,',75,',1,'
3173,',75,',1,'
241,',76,',1,'
3173,',76,',1,'
231,',77,',1,'
3182,',77,',1,'
4121,',77,',1,'
231,',78,',1,'
3182,',78,',1,'
4131,',78,',1,'
248,',79,',1,'
3182,',79,',1,'
4196,',79,',1,'
168,',80,',1,'
3185,',80,',1,'
280,',81,',1,'
748,',81,',1,'
279,',82,',1,'
4196,',83,',1,'
279,',84,',1,'
630,',84,',1,'
3173,',84,',1,'
280,',85,',1,'
632,',85,',1,'
3177,',85,',1,'
281,',86,',1,'
3182,',86,',1,'
282,',87,',1,'
3186,',87,',1,'
601,',88,846,1,'
3182,',88,846,1,'
4196,',88,846,1,'
3182,',89,',1,'
4180,',89,',1,'
4196,',89,',1,'
2697,',90,',1,'
3182,',90,',1,'
4196,',90,',1,'
310,',91,',1,'
2331,',92,',1,'
2345,',92,',1,'
3186,',92,',1,'
4123,',92,',1,'
323,',93,',1,'
3186,',93,',1,'
325,',94,',1,'
330,',95,',1,'
3186,',95,',1,'
4123,',95,',1,'
331,',96,',1,'
3182,',96,',1,'
4131,',96,',1,'
340,',97,',1,'
3173,',97,',1,'
343,',98,',1,'
343,',99,',1,'
343,',100,',1,'
348,',101,',1,'
354,',102,',1,'
351,',103,',1,'
4326,',103,',1,'
352,',104,',1,'
359,',105,',1,'
752,',105,',1,'
3182,',105,',1,'
374,',106,',1,'
752,',106,',1,'
3182,',106,',1,'
374,',107,',1,'
377,',108,',1,'
369,',109,',1,'
4326,',109,',1,'
370,',110,',1,'
373,',111,',1,'
382,',112,',1,'
384,',113,',1,'
393,',114,',1,'
3182,',114,',1,'
405,',115,',1,'
3173,',115,',1,'
397,',116,',1,'
398,',117,',1,'
3182,',117,',1,'
4196,',117,',1,'
399,',118,',1,'
3186,',118,',1,'
4123,',118,',1,'
3182,',119,',1,'
4196,',119,',1,'
4698,',119,',1,'
405,',120,791,1,'
4196,',120,791,1,'
405,',121,',1,'
752,',121,',1,'
3182,',121,',1,'
407,',122,',1,'
3173,',122,',1,'
408,',123,',1,'
4196,',123,',1,'
415,',124,',1,'
415,',125,',1,'
3182,',125,',1,'
424,',126,',1,'
427,',127,',1,'
429,',128,',1,'
432,',129,',1,'
434,',130,',1,'
434,',131,',1,'
443,',132,',1,'
446,',133,',1,'
448,',134,',1,'
449,',135,',1,'
452,',136,',1,'
453,',137,',1,'
456,',138,',1,'
3954,',139,',1,'
3955,',140,',1,'
2974,',141,',1,'
4935,',141,',1,'
2975,',142,',1,'
4937,',142,',1,'
4733,',143,',1,'
4918,',143,',1,'
2336,',144,',1,'
4918,',144,',1,'
471,',145,413,1,'
752,',145,413,1,'
2327,',145,413,1,'
462,',146,',1,'
3182,',146,',1,'
4196,',146,',1,'
463,',147,',1,'
3186,',148,',1,'
3814,',148,',1,'
4123,',148,',1,'
630,',149,567,1,'
3811,',149,567,1,'
2908,',150,',1,'
4928,',150,',1,'
2908,',151,',1,'
4937,',151,',1,'
2865,',152,',1,'
4937,',152,',1,'
2865,',153,',1,'
4928,',153,',1,'
2904,',154,',1,'
4928,',154,',1,'
2907,',155,',1,'
4928,',155,',1,'
2905,',156,',1,'
4928,',156,',1,'
2907,',157,',1,'
4937,',157,',1,'
2897,',158,',1,'
313,',159,478,1,'
632,',159,478,1,'
464,',160,',1,'
4121,',160,',1,'
464,',161,',1,'
315,',162,',1,'
3182,',162,',1,'
4121,',162,',1,'
311,',163,',1,'
3174,',163,',1,'
312,',164,',1,'
3176,',164,',1,'
311,',165,',1,'
122,',166,',1,'
2331,',166,',1,'
472,',170,',1,'
3174,',170,',1,'
471,',171,',1,'
3173,',171,',1,'
263,',172,',1,'
2334,',172,',1,'
265,',173,',1,'
2334,',173,',1,'
274,',174,',1,'
2334,',174,',1,'
267,',175,',1,'
2334,',175,',1,'
271,',176,',1,'
2334,',176,',1,'
272,',177,',1,'
2334,',177,',1,'
471,',178,',1,'
477,',179,',1,'
478,',180,',1,'
479,',181,',1,'
480,',182,',1,'
481,',183,',1,'
752,',183,',1,'
3490,',183,',1,'
483,',184,',1,'
756,',184,',1,'
3492,',184,',1,'
481,',185,',1,'
752,',186,',1,'
2327,',186,',1,'
4409,',186,',1,'
756,',187,',1,'
2331,',187,',1,'
4411,',187,',1,'
481,',188,',1,'
481,',189,',1,'
489,',190,',1,'
3174,',190,',1,'
488,',191,',1,'
3173,',191,',1,'
493,',192,',1,'
493,',193,',1,'
502,',194,',1,'
503,',195,',1,'
505,',196,',1,'
506,',197,',1,'
496,',198,',1,'
752,',198,',1,'
496,',199,',1,'
3674,',199,',1,'
497,',200,',1,'
498,',201,',1,'
509,',202,370,1,'
481,',203,',1,'
2987,',203,',1,'
509,',204,',1,'
752,',204,',1,'
514,',205,612,1,'
511,',206,',1,'
515,',207,',1,'
515,',208,',1,'
524,',209,968,1,'
3182,',209,968,1,'
483,',210,',1,'
3049,',210,',1,'
526,',211,',1,'
3183,',211,',1,'
527,',212,',1,'
525,',213,',1,'
752,',213,',1,'
3182,',213,',1,'
752,',214,100,1,'
2253,',214,100,1,'
2327,',214,100,1,'
532,',215,',1,'
532,',216,',1,'
535,',217,',1,'
535,',218,',1,'
539,',219,',1,'
540,',220,',1,'
541,',221,',1,'
541,',222,',1,'
531,',223,',1,'
3182,',223,',1,'
4356,',223,',1,'
3182,',224,',1,'
4024,',224,',1,'
4356,',224,',1,'
544,',225,',1,'
3173,',225,',1,'
547,',226,',1,'
3182,',226,',1,'
544,',227,',1,'
550,',228,',1,'
551,',229,',1,'
544,',230,528,1,'
125,',231,894,1,'
2818,',231,894,1,'
795,',232,355,1,'
2818,',232,355,1,'
2818,',233,1092,1,'
3679,',233,1092,1,'
2818,',234,780,1,'
3634,',234,780,1,'
481,',235,',1,'
3182,',235,',1,'
4203,',236,',1,'
4401,',236,',1,'
481,',237,',1,'
555,',237,',1,'
554,',238,192,1,'
3182,',238,192,1,'
2253,',239,402,1,'
2255,',240,402,1,'
2599,',241,',1,'
2824,',241,',1,'
2236,',242,',1,'
2824,',242,',1,'
4203,',242,',1,'
2839,',243,156,1,'
3182,',243,156,1,'
557,',244,',1,'
466,',245,62,1,'
752,',245,62,1,'
2327,',245,62,1,'
752,',246,',1,'
2327,',246,',1,'
4409,',246,',1,'
469,',247,62,1,'
756,',247,62,1,'
2331,',247,62,1,'
400,',248,',1,'
661,',248,',1,'
661,',249,',1,'
4120,',249,',1,'
466,',250,',1,'
3173,',250,',1,'
467,',251,',1,'
3174,',251,',1,'
466,',252,',1,'
487,',253,',1,'
3173,',253,',1,'
4138,',253,',1,'
4196,',253,',1,'
488,',254,',1,'
3173,',254,',1,'
4138,',254,',1,'
4196,',254,',1,'
44,',255,',1,'
3182,',255,',1,'
567,',256,',1,'
3173,',256,',1,'
3182,',256,',1,'
568,',257,',1,'
3174,',257,',1,'
3183,',257,',1,'
473,',258,',1,'
3177,',258,',1,'
563,',259,',1,'
564,',260,',1,'
565,',261,',1,'
666,',262,',1,'
752,',262,',1,'
670,',263,',1,'
756,',263,',1,'
666,',264,',1,'
3158,',264,',1,'
670,',265,',1,'
3160,',265,',1,'
2480,',266,',1,'
2482,',266,',1,'
661,',267,',1,'
3173,',267,',1,'
752,',268,12,1,'
567,',269,',1,'
752,',269,',1,'
570,',270,',1,'
756,',270,',1,'
568,',271,',1,'
568,',272,',1,'
4112,',272,',1,'
569,',273,',1,'
567,',274,',1,'
586,',275,',1,'
3182,',275,',1,'
587,',276,',1,'
3182,',276,',1,'
590,',277,',1,'
3182,',277,',1,'
592,',278,',1,'
3186,',278,',1,'
591,',279,',1,'
562,',280,',1,'
4485,',280,',1,'
574,',281,',1,'
596,',282,',1,'
596,',283,',1,'
2361,',283,',1,'
600,',284,',1,'
2331,',284,',1,'
599,',285,',1,'
601,',286,',1,'
752,',286,',1,'
3182,',286,',1,'
594,',287,',1,'
603,',288,',1,'
752,',288,',1,'
703,',289,',1,'
752,',289,',1,'
2493,',290,322,1,'
87,',291,1192,1,'
748,',292,',1,'
3158,',292,',1,'
3655,',292,',1,'
605,',293,',1,'
3741,',294,',1,'
4918,',294,',1,'
3745,',295,',1,'
4918,',295,',1,'
3748,',296,',1,'
4918,',296,',1,'
3751,',297,',1,'
4918,',297,',1,'
3755,',298,',1,'
4918,',298,',1,'
3758,',299,',1,'
4918,',299,',1,'
3799,',300,',1,'
4918,',300,',1,'
3801,',301,',1,'
4918,',301,',1,'
3804,',302,',1,'
4918,',302,',1,'
3782,',303,',1,'
4918,',303,',1,'
3784,',304,',1,'
4918,',304,',1,'
3787,',305,',1,'
4918,',305,',1,'
3732,',306,',1,'
4918,',306,',1,'
3754,',307,',1,'
4918,',307,',1,'
3764,',308,',1,'
4918,',308,',1,'
3767,',309,',1,'
4918,',309,',1,'
3735,',310,',1,'
4918,',310,',1,'
3738,',311,',1,'
4918,',311,',1,'
514,',312,605,1,'
3182,',312,605,1,'
622,',313,',1,'
1049,',313,',1,'
625,',314,',1,'
3173,',314,',1,'
4138,',314,',1,'
4196,',314,',1,'
622,',315,',1,'
1053,',315,',1,'
3173,',315,',1,'
624,',316,',1,'
3182,',316,',1,'
628,',317,',1,'
3173,',317,',1,'
4138,',317,',1,'
635,',318,',1,'
3173,',318,',1,'
4583,',318,',1,'
606,',319,350,1,'
3186,',319,350,1,'
656,',320,',1,'
4585,',320,',1,'
628,',321,',1,'
491,',322,',1,'
3177,',322,',1,'
4140,',322,',1,'
566,',323,',1,'
653,',323,',1,'
646,',324,107,1,'
3063,',324,107,1,'
647,',325,107,1,'
3064,',325,107,1,'
608,',326,',1,'
752,',326,',1,'
3182,',326,',1,'
608,',327,',1,'
611,',328,',1,'
3182,',328,',1,'
611,',329,',1,'
611,',330,',1,'
4104,',331,',1,'
4097,',332,',1,'
1,',333,1193,1,'
619,',333,1193,1,'
621,',334,',1,'
2319,',334,',1,'
627,',335,',1,'
632,',336,1674,1,'
2331,',336,1674,1,'
4123,',336,1674,1,'
632,',337,',1,'
3991,',337,',1,'
631,',338,',1,'
630,',339,',1,'
3173,',340,',1,'
4138,',340,',1,'
4444,',340,',1,'
3173,',341,',1,'
4127,',341,',1,'
5011,',341,',1,'
3173,',342,',1,'
4127,',342,',1,'
5025,',342,',1,'
3173,',343,',1,'
4138,',343,',1,'
5019,',343,',1,'
3173,',344,',1,'
4138,',344,',1,'
5022,',344,',1,'
644,',345,',1,'
739,',345,',1,'
4112,',345,',1,'
644,',346,',1,'
2456,',346,',1,'
4112,',346,',1,'
640,',347,',1,'
3040,',347,',1,'
640,',348,',1,'
3065,',348,',1,'
644,',349,',1,'
3040,',349,',1,'
644,',350,',1,'
3040,',350,',1,'
4112,',350,',1,'
644,',351,',1,'
3065,',351,',1,'
643,',352,',1,'
644,',353,',1,'
4112,',353,',1,'
4645,',353,',1,'
3068,',354,',1,'
3177,',354,',1,'
4729,',354,',1,'
644,',355,',1,'
3174,',355,',1,'
645,',356,',1,'
3176,',356,',1,'
644,',357,',1,'
4112,',357,',1,'
630,',358,74,1,'
643,',358,74,1,'
644,',359,',1,'
4112,',359,',1,'
4837,',359,',1,'
644,',360,',1,'
3173,',360,',1,'
4030,',361,',1,'
4121,',361,',1,'
32,',362,',1,'
4121,',362,',1,'
33,',363,',1,'
4121,',363,',1,'
3826,',364,',1,'
4121,',364,',1,'
3828,',365,',1,'
4121,',365,',1,'
2807,',366,',1,'
4121,',366,',1,'
2807,',367,',1,'
4131,',367,',1,'
3182,',368,',1,'
3638,',368,',1,'
4121,',368,',1,'
3186,',369,',1,'
3639,',369,',1,'
4123,',369,',1,'
3182,',370,',1,'
4121,',370,',1,'
4449,',370,',1,'
476,',371,',1,'
3182,',371,',1,'
4121,',371,',1,'
478,',372,',1,'
3186,',372,',1,'
4123,',372,',1,'
476,',373,',1,'
3182,',373,',1,'
4131,',373,',1,'
650,',374,',1,'
650,',375,',1,'
2583,',376,',1,'
3182,',376,',1,'
718,',377,471,1,'
4196,',377,471,1,'
718,',378,',1,'
4196,',378,',1,'
718,',379,469,1,'
4196,',379,469,1,'
718,',380,470,1,'
4196,',380,470,1,'
403,',381,873,1,'
3173,',382,',1,'
4089,',382,',1,'
4138,',382,',1,'
487,',383,',1,'
3173,',383,',1,'
4138,',383,',1,'
2595,',384,',1,'
2594,',385,',1,'
2234,',386,',1,'
2233,',387,',1,'
528,',388,',1,'
752,',388,',1,'
673,',389,',1,'
3173,',389,',1,'
3182,',389,',1,'
4138,',389,',1,'
661,',390,',1,'
613,',391,',1,'
661,',391,',1,'
661,',392,',1,'
666,',393,',1,'
3173,',393,',1,'
3182,',393,',1,'
2209,',394,259,1,'
3182,',394,259,1,'
2210,',395,259,1,'
3183,',395,259,1,'
666,',396,',1,'
666,',397,',1,'
4710,',398,',1,'
3092,',399,',1,'
682,',400,',1,'
752,',400,',1,'
3182,',400,',1,'
682,',401,',1,'
679,',402,',1,'
681,',403,',1,'
688,',404,',1,'
96,',405,1774,1,'
3177,',405,1774,1,'
689,',406,',1,'
3182,',406,',1,'
632,',407,262,1,'
638,',407,262,1,'
691,',408,',1,'
692,',409,',1,'
3939,',409,',1,'
693,',410,',1,'
3942,',410,',1,'
696,',411,',1,'
3182,',411,',1,'
697,',412,',1,'
3186,',412,',1,'
699,',413,',1,'
701,',414,',1,'
702,',415,',1,'
3182,',415,',1,'
4196,',415,',1,'
705,',416,',1,'
707,',417,',1,'
706,',418,',1,'
3173,',418,',1,'
4138,',418,',1,'
712,',419,',1,'
712,',420,',1,'
2361,',420,',1,'
717,',421,',1,'
2331,',421,',1,'
716,',422,',1,'
723,',423,',1,'
719,',424,',1,'
718,',425,',1,'
709,',426,',1,'
735,',427,',1,'
3177,',427,',1,'
733,',428,',1,'
3939,',428,',1,'
732,',429,158,1,'
3182,',429,158,1,'
735,',430,158,1,'
3186,',430,158,1,'
736,',431,323,1,'
748,',432,',1,'
752,',432,',1,'
2257,',432,',1,'
733,',433,',1,'
4112,',433,',1,'
733,',434,',1,'
732,',435,',1,'
3177,',435,',1,'
3185,',436,',1,'
4657,',436,',1,'
3182,',437,',1,'
4595,',437,',1,'
3182,',438,',1,'
4585,',438,',1,'
3182,',439,',1,'
4591,',439,',1,'
752,',440,',1,'
2327,',440,',1,'
4579,',440,',1,'
752,',441,',1,'
2327,',441,',1,'
4583,',441,',1,'
752,',442,',1,'
2327,',442,',1,'
4589,',442,',1,'
4397,',443,',1,'
2822,',444,',1,'
3509,',444,',1,'
4759,',445,',1,'
3177,',446,',1,'
3915,',446,',1,'
4140,',446,',1,'
3177,',447,',1,'
3924,',447,',1,'
4140,',447,',1,'
4716,',448,',1,'
2634,',449,',1,'
3177,',449,',1,'
4140,',449,',1,'
723,',450,',1,'
712,',451,',1,'
4856,',452,',1,'
596,',453,',1,'
2822,',454,',1,'
3177,',454,',1,'
3905,',454,',1,'
4140,',454,',1,'
2267,',455,',1,'
2508,',456,',1,'
987,',457,',1,'
4702,',458,',1,'
2822,',459,',1,'
4249,',459,',1,'
2822,',460,',1,'
4977,',460,',1,'
3894,',461,',1,'
2822,',462,',1,'
3509,',462,',1,'
2822,',463,',1,'
4249,',463,',1,'
2822,',464,',1,'
4977,',464,',1,'
3894,',465,',1,'
2822,',466,',1,'
4187,',466,',1,'
2822,',467,',1,'
4246,',467,',1,'
3878,',468,',1,'
3525,',469,',1,'
2765,',470,',1,'
4792,',471,',1,'
4785,',472,',1,'
4799,',473,',1,'
4781,',474,',1,'
2822,',475,',1,'
3511,',475,',1,'
4595,',476,',1,'
4596,',477,',1,'
4585,',478,',1,'
4586,',479,',1,'
4591,',480,',1,'
4592,',481,',1,'
2356,',482,',1,'
3185,',482,',1,'
737,',483,',1,'
738,',484,',1,'
738,',485,',1,'
4112,',485,',1,'
643,',486,',1,'
740,',486,',1,'
4112,',486,',1,'
740,',487,',1,'
2456,',487,',1,'
4112,',487,',1,'
740,',488,',1,'
3040,',488,',1,'
4112,',488,',1,'
742,',489,',1,'
3186,',489,',1,'
748,',490,',1,'
752,',490,',1,'
3040,',490,',1,'
3182,',490,',1,'
740,',491,',1,'
4112,',491,',1,'
4645,',491,',1,'
740,',492,',1,'
4112,',492,',1,'
740,',493,',1,'
4112,',493,',1,'
4837,',493,',1,'
739,',494,',1,'
740,',495,',1,'
3173,',495,',1,'
744,',496,',1,'
748,',497,',1,'
3173,',497,',1,'
748,',498,',1,'
1039,',498,',1,'
746,',499,',1,'
3174,',499,',1,'
3682,',499,',1,'
747,',500,',1,'
751,',501,',1,'
3046,',501,',1,'
3173,',501,',1,'
483,',502,',1,'
751,',502,',1,'
749,',503,',1,'
3174,',503,',1,'
3682,',503,',1,'
630,',504,101,1,'
748,',504,101,1,'
632,',505,101,1,'
751,',505,101,1,'
580,',506,25,1,'
752,',506,25,1,'
671,',507,',1,'
752,',507,',1,'
752,',508,',1,'
3182,',508,',1,'
753,',509,',1,'
575,',510,',1,'
3183,',510,',1,'
578,',511,',1,'
4393,',511,',1,'
574,',512,25,1,'
756,',512,25,1,'
752,',513,',1,'
752,',514,',1,'
761,',515,',1,'
764,',516,',1,'
3185,',517,',1,'
4084,',517,',1,'
4816,',518,',1,'
4928,',518,',1,'
2942,',519,',1,'
4937,',519,',1,'
3107,',520,',1,'
4937,',520,',1,'
3006,',521,',1,'
4937,',521,',1,'
3147,',522,',1,'
4937,',522,',1,'
2991,',523,',1,'
4937,',523,',1,'
522,',524,',1,'
4937,',524,',1,'
2948,',525,',1,'
4918,',525,',1,'
2953,',526,',1,'
4918,',526,',1,'
522,',527,',1,'
4937,',527,',1,'
500,',528,',1,'
4937,',528,',1,'
519,',529,',1,'
4937,',529,',1,'
507,',530,',1,'
4937,',530,',1,'
520,',531,',1,'
4937,',531,',1,'
518,',532,',1,'
4937,',532,',1,'
4816,',533,',1,'
4937,',533,',1,'
2984,',534,',1,'
4937,',534,',1,'
2972,',535,',1,'
4937,',535,',1,'
2973,',536,',1,'
4918,',536,',1,'
521,',537,',1,'
4937,',537,',1,'
497,',538,',1,'
2991,',538,',1,'
3108,',539,',1,'
4937,',539,',1,'
3057,',540,',1,'
4937,',540,',1,'
2975,',541,',1,'
4918,',541,',1,'
2229,',542,1024,1,'
3069,',542,1024,1,'
2229,',543,1026,1,'
4745,',543,1026,1,'
2564,',544,',1,'
3069,',544,',1,'
2501,',545,',1,'
3069,',545,',1,'
752,',546,',1,'
797,',546,',1,'
3173,',546,',1,'
756,',547,',1,'
799,',547,',1,'
3177,',547,',1,'
636,',548,',1,'
636,',549,',1,'
752,',549,',1,'
3182,',549,',1,'
768,',550,',1,'
3182,',550,',1,'
4121,',550,',1,'
769,',551,',1,'
3186,',551,',1,'
4123,',551,',1,'
363,',552,',1,'
630,',552,',1,'
4196,',552,',1,'
1030,',553,',1,'
4196,',553,',1,'
770,',554,',1,'
3182,',554,',1,'
777,',555,415,1,'
4123,',555,415,1,'
3017,',556,',1,'
3017,',557,',1,'
772,',558,',1,'
3186,',558,',1,'
4123,',558,',1,'
776,',559,',1,'
3174,',559,',1,'
775,',560,',1,'
3173,',560,',1,'
3072,',561,',1,'
3495,',561,',1,'
779,',562,',1,'
3490,',562,',1,'
752,',563,',1,'
778,',563,',1,'
3182,',563,',1,'
778,',564,',1,'
782,',565,',1,'
3490,',565,',1,'
752,',566,',1,'
781,',566,',1,'
3182,',566,',1,'
781,',567,',1,'
787,',568,',1,'
3173,',568,',1,'
4138,',568,',1,'
785,',569,',1,'
3490,',569,',1,'
784,',570,',1,'
788,',571,',1,'
4029,',572,',1,'
4029,',573,',1,'
3182,',574,',1,'
4324,',574,',1,'
3182,',575,144,1,'
4326,',575,144,1,'
788,',576,320,1,'
3182,',576,320,1,'
791,',577,320,1,'
3187,',577,320,1,'
789,',578,320,1,'
3183,',578,320,1,'
790,',579,320,1,'
3186,',579,320,1,'
694,',580,',1,'
792,',580,',1,'
695,',581,',1,'
793,',581,',1,'
798,',582,',1,'
3174,',582,',1,'
797,',583,',1,'
3173,',583,',1,'
752,',584,',1,'
798,',584,',1,'
3182,',584,',1,'
4112,',584,',1,'
798,',585,',1,'
3173,',585,',1,'
797,',586,',1,'
299,',587,',1,'
3182,',587,',1,'
801,',588,',1,'
3173,',588,',1,'
802,',589,',1,'
3174,',589,',1,'
805,',590,',1,'
807,',591,',1,'
806,',592,',1,'
304,',593,',1,'
3179,',593,',1,'
4142,',593,',1,'
2361,',594,563,1,'
4397,',594,563,1,'
2331,',595,',1,'
4403,',595,',1,'
4402,',596,',1,'
2361,',597,',1,'
3509,',597,',1,'
2361,',598,',1,'
3511,',598,',1,'
2331,',599,',1,'
3508,',599,',1,'
2331,',600,',1,'
3516,',600,',1,'
3515,',601,',1,'
3507,',602,',1,'
2361,',603,',1,'
4702,',603,',1,'
2331,',604,',1,'
4708,',604,',1,'
4707,',605,',1,'
2361,',606,',1,'
4249,',606,',1,'
2331,',607,',1,'
4254,',607,',1,'
4253,',608,',1,'
723,',609,',1,'
2361,',609,',1,'
728,',610,',1,'
2331,',610,',1,'
727,',611,',1,'
987,',612,',1,'
987,',613,',1,'
2361,',613,',1,'
991,',614,',1,'
2331,',614,',1,'
990,',615,',1,'
992,',616,1536,1,'
3186,',616,1536,1,'
993,',617,1536,1,'
3189,',617,1536,1,'
349,',618,',1,'
4136,',618,',1,'
349,',619,',1,'
4125,',619,',1,'
3179,',620,',1,'
4142,',620,',1,'
5061,',620,',1,'
305,',621,',1,'
350,',622,',1,'
4136,',622,',1,'
4202,',622,',1,'
350,',623,',1,'
4125,',623,',1,'
4202,',623,',1,'
752,',624,',1,'
1021,',624,',1,'
3182,',624,',1,'
752,',625,',1,'
1024,',625,',1,'
3182,',625,',1,'
1031,',626,',1,'
1033,',627,',1,'
2809,',628,',1,'
3196,',628,',1,'
1021,',629,',1,'
3173,',632,',1,'
4127,',632,',1,'
1037,',633,',1,'
756,',634,',1,'
1036,',634,',1,'
3177,',634,',1,'
1041,',635,',1,'
3027,',635,',1,'
3179,',635,',1,'
3040,',636,',1,'
3182,',636,',1,'
3490,',636,',1,'
3492,',637,',1,'
4152,',637,',1,'
1039,',638,',1,'
4389,',638,',1,'
4417,',638,',1,'
3173,',639,',1,'
4138,',639,',1,'
4464,',639,',1,'
3173,',640,',1,'
4138,',640,',1,'
4471,',640,',1,'
1042,',641,',1,'
1044,',642,',1,'
1051,',643,',1,'
3660,',643,',1,'
1051,',644,',1,'
2445,',645,',1,'
3173,',645,',1,'
4280,',645,',1,'
2447,',646,',1,'
3177,',646,',1,'
4282,',646,',1,'
1049,',647,',1,'
2475,',647,',1,'
1053,',648,',1,'
2475,',648,',1,'
752,',649,',1,'
2353,',649,',1,'
2353,',650,',1,'
2353,',651,',1,'
3056,',652,',1,'
3056,',653,',1,'
2210,',654,',1,'
157,',655,',1,'
752,',655,',1,'
3182,',655,',1,'
2246,',656,',1,'
3179,',656,',1,'
4142,',656,',1,'
4202,',656,',1,'
481,',657,301,1,'
2215,',657,301,1,'
484,',658,301,1,'
2219,',658,301,1,'
2237,',659,1549,1,'
3182,',659,1549,1,'
2237,',660,',1,'
2445,',660,',1,'
3173,',660,',1,'
2215,',661,',1,'
2222,',662,',1,'
3490,',662,',1,'
2222,',663,',1,'
752,',664,',1,'
2221,',664,',1,'
3182,',664,',1,'
2218,',665,',1,'
2818,',665,',1,'
752,',666,',1,'
2215,',666,',1,'
2237,',667,',1,'
2237,',668,',1,'
2216,',669,',1,'
4112,',669,',1,'
2217,',670,',1,'
2215,',671,',1,'
2220,',672,',1,'
2216,',673,',1,'
2240,',674,',1,'
4326,',674,',1,'
752,',675,',1,'
2240,',675,',1,'
3182,',675,',1,'
2243,',676,',1,'
2246,',677,',1,'
2240,',678,',1,'
752,',679,',1,'
2242,',679,',1,'
3182,',679,',1,'
2251,',680,',1,'
2252,',681,',1,'
2253,',682,104,1,'
3186,',683,',1,'
3672,',683,',1,'
2256,',684,',1,'
2259,',685,',1,'
2254,',686,',1,'
2253,',687,',1,'
3993,',687,',1,'
2253,',688,',1,'
4357,',688,',1,'
756,',689,552,1,'
2352,',689,552,1,'
752,',690,552,1,'
2350,',690,552,1,'
2261,',691,',1,'
3490,',692,',1,'
2261,',693,',1,'
3182,',694,',1,'
4276,',695,',1,'
2267,',696,',1,'
2267,',697,',1,'
2361,',697,',1,'
2271,',698,',1,'
2331,',698,',1,'
2270,',699,',1,'
2266,',700,',1,'
1051,',701,',1,'
4365,',701,',1,'
2274,',702,',1,'
2280,',702,',1,'
2282,',703,',1,'
544,',704,334,1,'
2445,',704,334,1,'
546,',705,334,1,'
2448,',705,334,1,'
2320,',706,',1,'
