reaction2enzyme_id,reaction_id,enzyme_id
859,2329,124
860,2330,177
861,2331,581
862,2332,22
863,2333,77
864,2334,408
865,2341,703
866,2342,703
867,2343,703
868,2345,729
869,2346,730
870,2349,263
871,2353,393
872,2354,393
873,2355,393
874,2363,614
875,2364,92
876,2365,369
877,2367,523
878,2368,519
879,2369,1
880,2370,23
881,2371,477
882,2372,120
883,2373,120
884,2374,124
885,2375,124
886,2376,253
887,2379,352
888,2380,352
889,2381,615
890,2382,32
891,2383,28
892,2384,28
893,2385,28
894,2396,368
895,2397,368
896,2399,614
897,2401,245
898,2405,677
899,2417,245
900,2421,245
901,2425,245
902,2429,245
903,2430,245
904,2433,93
905,2434,718
906,2437,189
907,2438,460
908,2439,460
909,2440,460
910,2441,459
911,2442,459
912,2444,460
913,2449,154
914,2450,154
915,2451,542
916,2452,268
917,2453,675
918,2454,268
919,2455,620
920,2456,218
921,2457,218
922,2458,218
923,2459,171
924,2465,517
925,2466,274
926,2467,290
927,2468,289
928,2469,302
929,2470,296
930,2471,288
931,2480,692
932,2481,135
933,2482,135
934,2485,520
935,2486,520
936,2487,520
937,2493,429
938,2496,699
939,2502,173
940,2503,175
941,2504,747
942,2506,633
943,2507,633
944,2508,271
945,2510,28
946,2511,263
947,2512,250
948,2513,445
949,2514,38
950,2515,38
951,2517,39
952,2518,39
953,2519,39
954,2520,730
955,2521,729
956,2522,73
957,2523,93
958,2529,638
959,2532,211
960,2535,397
961,2536,515
962,2540,648
963,2541,665
964,2542,665
965,2543,173
966,2547,488
967,2548,381
968,2551,378
969,2552,490
970,2553,491
971,2554,384
972,2555,384
973,2556,377
974,2557,377
975,2558,488
976,2560,490
977,2563,478
978,2564,719
979,2565,378
980,2566,492
981,2567,478
982,2568,478
983,2569,661
984,2571,520
985,2573,520
986,2574,516
987,2575,516
988,2576,516
989,2577,516
990,2578,516
991,2579,516
992,2580,516
993,2581,516
994,2582,516
995,2583,516
996,2584,516
997,2585,516
998,2586,516
999,2587,516
1000,2588,516
1001,2589,516
1002,2590,633
1003,2591,633
1004,2592,633
1005,2593,690
1006,2594,717
1007,2595,122
1008,2596,122
1009,2599,329
1010,2600,590
1011,2601,590
1012,2602,183
1013,2603,183
1014,2604,183
1015,2605,183
1016,2607,696
1017,2610,279
1018,2612,127
1019,2613,177
1020,2614,562
1021,2616,536
1022,2617,536
1023,2618,536
1024,2619,536
1025,2620,536
1026,2621,536
1027,2622,536
1028,2623,536
1029,2624,536
1030,2625,536
1031,2626,536
1032,2627,536
1033,2628,536
1034,2629,536
1035,2630,536
1036,2631,536
1037,2632,536
1038,2633,536
1039,2634,536
1040,2635,536
1041,2636,536
1042,2637,536
1043,2638,536
1044,2639,536
1045,2640,536
1046,2641,536
1047,2642,536
1048,2666,198
1049,2670,539
1050,2671,539
1051,2674,540
1052,2675,540
1053,2682,533
1054,2684,533
1055,2688,612
1056,2694,547
1057,2699,605
1058,2700,605
1059,2701,605
1060,2702,605
1061,2703,605
1062,2704,605
1063,2705,605
1064,2706,605
1065,2708,418
1066,2709,418
1067,2710,418
1068,2711,418
1069,2712,418
1070,2714,418
1071,2715,418
1072,2717,418
1073,2718,418
1074,2720,418
1075,2721,418
1076,2723,418
1077,2724,418
1078,2726,418
1079,2727,418
1080,2729,418
1081,2730,418
1082,2732,418
1083,2733,418
1084,2734,418
1085,2735,418
1086,2736,418
1087,2745,422
1088,2746,422
1089,2750,175
1090,2751,427
1091,2752,427
1092,2753,427
1093,2754,208
1094,2755,215
1095,2756,87
1096,2757,87
1097,2759,553
1098,2762,446
1099,2767,245
1100,2771,334
1101,2772,334
1102,2773,486
1103,2774,486
1104,2775,486
1105,2776,486
1106,2777,486
1107,2778,486
1108,2779,486
1109,2780,486
1110,2781,486
1111,2782,486
1112,2783,486
1113,2784,486
1114,2785,486
1115,2786,486
1116,2787,486
1117,2788,486
1118,2789,486
1119,2790,486
1120,2791,486
1121,2792,486
1122,2793,486
1123,2794,486
1124,2795,486
1125,2796,486
1126,2797,486
1127,2798,486
1128,2799,486
1129,2800,486
1130,2802,594
1131,2803,596
1132,2804,596
1133,2805,596
1134,2806,514
1135,2807,514
1136,2821,142
1137,2822,230
1138,2827,453
1139,2830,203
1140,2831,203
1141,2832,203
1142,2834,619
1143,2836,577
1144,2841,616
1145,2844,353
1146,2846,324
1147,2849,95
1148,2850,94
1149,2851,94
1150,2852,94
1151,2853,109
1152,2854,109
1153,2855,109
1154,2856,109
1155,2857,93
1156,2858,93
1157,2859,93
1158,2860,104
1159,2861,104
1160,2862,83
1161,2863,83
1162,2864,83
1163,2865,83
1164,2866,83
1165,2867,83
1166,2869,93
1167,2870,93
1168,2873,93
1169,2874,93
1170,2875,93
1171,2876,93
1172,2886,93
1173,2891,84
1174,2898,177
1175,2899,178
1176,2900,178
1177,2904,728
