Metabolite abbreviation,Kegg ID,Kegg ID_1,EHMN ID
5adtststeroneglc[r],C03033,[],[]
5adtststerones[c],[],[],CE6032
5adtststerones[e],[],[],CE6032
5adtststerones[l],[],[],CE6032
5adtststerones[r],[],[],CE6032
5aizc[c],C04751,[],C04751
5aop[c],C00430,D07567,C00430
5aop[m],C00430,D07567,C00430
5dhf[c],[],[],[]
5dhf[e],[],[],[]
5dhf[l],[],[],[]
5dhf[m],[],[],[]
5dpmev[c],C01143,[],[]
5dpmev[x],C01143,[],C01143
5eipencoa[m],[],[],[]
5forthf[c],C00664,[],C00664
5fthf[c],C03479,D07986,C03479
5fthf[e],C03479,D07986,C03479
5fthf[m],C03479,D07986,C03479
5g2oxpt[x],C03771,[],C03771
5homeprazole[c],[],[],[]
5homeprazole[e],[],[],[]
5hoxindact[c],C05634,[],C05634
5hoxindact[m],C05634,[],C05634
5hoxindoa[c],C05635,[],C05635
5hoxindoa[m],C05635,[],C05635
5hoxnfkyn[c],C05648,[],C05648
5HPET[c],C05356,[],[]
5HPET[r],C05356,[],[]
5htrp[c],C01017,C00643,C00643
5htrp[e],C01017,C00643,C00643
5hxkyn[c],C05651,C05643,C05651
5hxkynam[c],C05638,[],C05638
5mdr1p[c],C04188,[],C04188
5mdru1p[c],C04582,[],[]
5moxact[c],C05660,[],C05660
5mta[c],C00170,[],C00170
5mta[e],C00170,[],[]
5mthf[c],C00440,[],[]
5mthf[e],C00440,[],[]
5mthf[n],C00440,[],C00440
5mthf[r],C00440,[],C00440
5oxpro[c],C01879,[],C01879
5oxpro[e],C01879,[],[]
5pmev[c],C01107,[],[]
5pmev[x],C01107,[],C01107
5tedtricoa[m],[],[],[]
5tedtricoa[x],[],[],[]
5thf[c],[],[],[]
5thf[e],[],[],[]
5thf[l],[],[],[]
5thf[m],[],[],[]
6a2ohxnt[x],C03239,[],C03239
6dhf[c],[],[],[]
6dhf[e],[],[],[]
6dhf[l],[],[],[]
6dhf[m],[],[],[]
6hoxmelatn[c],C05643,[],C05643
6htststerone[c],C14497,[],C14497
6htststerone[e],C14497,[],C14497
6htststerone[r],C14497,[],C14497
6pgc[c],C00345,[],C00345
6pgc[r],C00345,[],C00345
6pgl[c],C01236,[],C01236
6pgl[r],C01236,[],C01236
6pthp[c],C03684,[],C03684
6pthp[n],C03684,[],C03684
6thf[c],[],[],[]
6thf[e],[],[],[]
6thf[l],[],[],[]
6thf[m],[],[],[]
7dhchsterol[c],C01164,[],C01164
7dhchsterol[r],C01164,[],C01164
7dhf[c],[],[],[]
7dhf[e],[],[],[]
7dhf[l],[],[],[]
7dhf[m],[],[],[]
7thf[c],[],[],[]
7thf[e],[],[],[]
7thf[l],[],[],[]
7thf[m],[],[],[]
9_cis_retfa[c],[],[],[]
9_cis_retfa[e],[],[],[]
aacoa[c],C00332,[],C00332
aacoa[m],C00332,[],C00332
aacoa[x],C00332,[],C00332
aact[c],C01888,[],C01888
aact[m],C01888,[],C01888
abt[c],C00532,[],C00532
abt[e],C00532,[],C00532
ac[c],C00033,D00010,C00033
ac[e],C00033,D00010,C00033
ac[g],C00033,D00010,C00033
ac[m],C00033,D00010,C00033
ac[r],C00033,D00010,C00033
acac[c],C00164,[],C00164
acac[e],C00164,[],C00164
acac[m],C00164,[],C00164
acac[x],C00164,[],C00164
acACP[c],[],[],[]
acald[c],C00084,[],C00084
acald[e],C00084,[],C00084
acald[m],C00084,[],C00084
acald[r],C00084,[],C00084
acald[x],C00084,[],C00084
accoa[c],C00024,[],C00024
accoa[g],C00024,[],C00024
accoa[m],C00024,[],C00024
accoa[n],C00024,[],C00024
accoa[r],C00024,[],C00024
accoa[x],C00024,[],C00024
acetol[c],C05235,[],[]
acetone[c],C00207,D02311,C00207
acetone[e],C00207,D02311,C00207
acetone[m],C00207,D02311,C00207
acg5p[m],C04133,[],[]
acg5sa[m],C01250,[],[]
acgagbside_hs[c],[],[],[]
acgagbside_hs[g],[],[],[]
acgagbside_hs[l],[],[],[]
acgal[c],C01132,[],C01132
acgal[g],C01132,[],C01132
acgal[l],C01132,[],C01132
acgal1p[c],[],[],[]
acgalfuc12gal14acglcgalgluside_hs[g],[],[],[]
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[c],[],[],[]
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],[],[],[]
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g],[],[],[]
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[c],[],[],[]
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],[],[],[]
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g],[],[],[]
acgalfucgalacglcgal14acglcgalgluside_hs[g],[],[],[]
acgalfucgalacglcgalgluside_hs[g],[],[],[]
acgam[c],C00140,[],C00140
acgam[e],C00140,[],C00140
acgam[l],C00140,[],C00140
acgam[r],C00140,[],C00140
acgam1p[c],C04256,[],C04256
acgam6p[c],C00357,[],C00357
acgbgbside_hs[c],[],[],[]
acgbgbside_hs[g],[],[],[]
acgbgbside_hs[l],[],[],[]
acglc13galacglcgal14acglcgalgluside_hs[g],[],[],[]
acglcgal14acglcgalgluside_hs[g],[],[],[]
acglcgalacglcgal14acglcgalgluside_hs[g],[],[],[]
acglcgalgbside_hs[g],[],[],[]
acglcgalgluside_hs[g],[],[],[]
acglu[m],C00624,[],C00624
acgpail_hs[c],C01288,[],C01288
ach[c],C01996,[],C01996
ach[e],C01996,[],C01996
ach[n],C01996,[],C01996
acmana[c],C00645,[],C00645
acmana[e],C00645,[],C00645
acmana[r],C00645,[],C00645
acmanap[c],C04257,[],C04257
acn13acngalgbside_hs[c],[],[],[]
acn13acngalgbside_hs[e],[],[],[]
acn13acngalgbside_hs[g],[],[],[]
acn23acngalgbside_hs[c],[],[],[]
acn23acngalgbside_hs[e],[],[],[]
acn23acngalgbside_hs[g],[],[],[]
acnacngal14acglcgalgluside_hs[c],[],[],[]
acnacngal14acglcgalgluside_hs[e],[],[],[]
acnacngal14acglcgalgluside_hs[g],[],[],[]
acnacngalgbside_hs[c],[],[],[]
acnacngalgbside_hs[e],[],[],[]
acnacngalgbside_hs[g],[],[],[]
acnam[c],C19910,C00270,C00270
acnam[l],C19910,C00270,C00270
acnam[n],C19910,C00270,C00270
acnamp[c],C06241,[],C06241
acngal14acglcgalgluside_hs[g],[],[],[]
acngalacglcgal14acglcgalgluside_hs[c],[],[],[]
acngalacglcgal14acglcgalgluside_hs[e],[],[],[]
acngalacglcgal14acglcgalgluside_hs[g],[],[],[]
acngalacglcgalgluside_hs[g],[],[],[]
acngalgbside_hs[g],[],[],[]
acorn[c],C00437,[],C00437
ACP[c],C00229,[],C00229
ACP[m],C00229,[],C00229
acrn[c],C02571,[],C02571
acrn[m],C02571,[],C02571
acrn[r],C02571,[],C02571
acrn[x],C02571,[],C02571
acryl[c],C00511,[],C00511
ade[c],C00147,D00034;C05100,C00147
ade[e],C00147,D00034;C05100,C00147
ade[l],C00147,D00034;C05100,C00147
adhap_hs[c],[],[],[]
adhap_hs[x],[],[],[]
adn[c],C00212,C07195;D00045,C00212
adn[e],C00212,C07195;D00045,C00212
adn[l],C00212,C07195;D00045,C00212
adn[m],C00212,C07195;D00045,C00212
adocbl[c],C00194,[],[]
adocbl[e],C00194,[],[]
adocbl[m],C00194,[],C00194
adp[c],C00008,[],[]
adp[e],C00008,[],C00008
adp[g],C00008,[],C00008
adp[l],C00008,[],C00008
