rid,Metabolite abbreviation,EHMN ID
80,2425dhvitd2[e],[]
81,2425dhvitd2[m],[]
82,2425dhvitd3[c],CE1337
83,2425dhvitd3[e],CE1337
84,2425dhvitd3[m],CE1337
85,24nph[c],C02235
86,24nph[e],C02235
87,25aics[c],C04823
88,25hvitd2[c],[]
89,25hvitd2[e],[]
90,25hvitd2[m],[]
91,25hvitd3[c],C01561
92,25hvitd3[e],C01561
93,25hvitd3[m],C01561
94,2amac[c],C02218
95,2ameph[c],C03557
96,2aobut[m],C03508
97,2c23dh56dhoxin[c],C05604
98,2coum[c],C05838
99,2ddecdicoa[m],C05279
100,2ddecdicoa[x],C05279
101,2decdicoa[m],[]
102,2decdicoa[x],[]
103,2docohexecoa[m],[]
104,2docopencoa[m],[]
105,2docopencoa[x],[]
106,2dodtricoa[m],[]
107,2dodtricoa[x],[]
108,2dp6mep[m],[]
109,2dp6mobq[m],[]
110,2dp6mobq_me[m],[]
111,2dpmhobq[m],[]
112,2dr1p[c],C00672
113,2dr5p[c],C00673
114,2hb[c],C05984
115,2hb[e],C05984
116,2hexdtetcoa[m],[]
117,2hexdtetcoa[x],[]
118,2hexdtricoa[m],[]
119,2hexdtricoa[x],[]
120,2hyoxplac[c],C05852
121,2kmb[c],C01180
122,2maacoa[m],C03344
123,2mb2coa[c],C03345
124,2mb2coa[m],C03345
125,2mbcoa[m],C01033
126,2mcacn[c],C04225
127,2mcit[c],[]
128,2mcit[e],[]
129,2mop[c],C00349
130,2mop[m],C00349
131,2mp2coa[m],C03460
132,2mpdhl[m],C04424
133,2obut[c],C00109
134,2obut[m],C00109
135,2octdectecoa[m],[]
136,2octdectecoa[x],[]
137,2octpencoa[m],[]
138,2oxoadp[c],C00322
139,2oxoadp[m],C00322
140,2pg[c],C00631
141,2pglyc[c],C00988
142,34dhcinm[c],C01197
143,34dhmald[c],C05577
144,34dhmald[m],C05577
145,34dhoxmand[c],C05580
146,34dhoxmand[m],C05580
147,34dhoxpeg[c],C05576
148,34dhoxpeg[e],C05576
149,34dhpac[c],C04043
150,34dhpha[c],C01161
151,34dhphe[c],C00355
152,34dhphe[e],C00355
153,34hpl[m],C03672
154,34hpp[c],C01179
155,34hpp[e],C01179
156,34hpp[m],C01179
157,35cgmp[c],C00942
158,35cgmp[e],C00942
159,35cgmp[g],C00942
160,35cgmp[n],C00942
161,35diotyr[c],C01060
162,3aib[c],C03284
163,3aib[e],C03284
164,3aib[m],C03284
165,3aib_D[c],C01205
166,3aib_D[e],C01205
167,3aib_D[m],C01205
168,3amp[l],C01367
169,3bcrn[c],[]
170,3bcrn[e],[]
171,3ddcrn[c],[]
172,3ddcrn[e],[]
173,3ddecdicoa[m],C05280
174,3ddecdicoa[x],C05280
175,3deccrn[c],[]
176,3deccrn[e],[]
177,3decdicoa[m],[]
178,3decdicoa[x],[]
179,3dhguln[c],C00618
180,3docopencoa[m],[]
181,3docopencoa[x],[]
182,3dodtricoa[m],[]
183,3dodtricoa[x],[]
184,3dpdhb[m],[]
185,3dpdhb_me[m],C05300
186,3dphb[m],[]
187,3dsphgn[c],C02934
188,3h26dm5coa[m],C11947
189,3h26dm5coa[x],C11947
190,3hanthrn[c],C00632
191,3hbcoa[m],C01144
192,3hbcoa[x],C01144
193,3hbcoa_R[c],C03561
194,3hbcoa_R[m],C03561
195,3hdcoa[c],C05264
196,3hdcoa[m],C05264
197,3hddcoa[c],C05262
198,3hddcoa[m],C05262
199,3hdeccoa[c],[]
200,3hdeccoa[m],[]
201,3hdececrn[c],[]
202,3hdececrn[e],[]
203,3hexdcoa[c],C05258
204,3hexdcoa[m],C05258
205,3hexdcrn[c],[]
206,3hexdcrn[e],[]
207,3hexdtetcoa[m],[]
208,3hexdtetcoa[x],[]
209,3hexdtricoa[m],[]
210,3hexdtricoa[x],[]
211,3hibutcoa[m],C06000
212,3hmbcoa[m],C04405
213,3hmp[m],C01188
214,3hodcoa[c],[]
215,3hodcoa[m],[]
216,3hpcoa[c],C05668
217,3hpcoa[m],C05668
218,3hpcoa[x],C05668
219,3hpp[c],C01013
220,3hpp[m],C01013
221,3htdcoa[c],C05260
222,3htdcoa[m],C05260
223,3htmelys[c],C01259
224,3htmelys[m],C01259
225,3hxkynam[c],C05636
226,3ityr_L[c],C02515
227,3ivcoa[c],C05998
228,3ivcoa[m],C05998
229,3ivcrn[c],[]
230,3ivcrn[e],[]
231,3m4hpga[c],C05583
232,3m4hpga[m],C05583
233,3mb2coa[m],C03069
234,3mgcoa[m],C03231
235,3mlda[c],C05828
236,3mlda[e],C05828
237,3mldz[c],C05827
238,3mob[c],C00141
239,3mob[e],C00141
240,3mob[m],C00141
241,3mop[c],C00671
242,3mop[e],C03465
243,3mop[m],C00671
244,3mox4hoxm[c],C05584
245,3mox4hoxm[m],C05584
246,3mox4hpac[c],C05581
247,3mox4hpac[m],C05581
248,3moxtyr[c],C05587
249,3ocddcoa[c],[]
250,3ocddcoa[m],[]
251,3octdec2crn[c],[]
252,3octdec2crn[e],[]
253,3octdeccrn[c],[]
254,3octdeccrn[e],[]
255,3octdece1coa[c],[]
256,3octdece1coa[m],[]
257,3octdece1crn[c],[]
258,3octdece1crn[e],[]
259,3octdectecoa[m],[]
260,3octdectecoa[x],[]
261,3octpencoa[m],[]
262,3odcoa[m],C05265
263,3odcoa[x],C05265
264,3oddcoa[m],C05263
265,3oddcoa[x],C05263
266,3ohdcoa[m],C05259
267,3ohdcoa[x],C05259
268,3ohodcoa[c],CE2252
269,3ohodcoa[l],CE2252
270,3ohodcoa[r],CE2252
271,3ohodcoa[x],CE2252
272,3ohxccoa[x],[]
273,3otdcoa[m],C05261
274,3otdcoa[x],C05261
275,3padsel[c],C05696
276,3pg[c],C00197
277,3pg[m],C00197
278,3php[c],C03232
279,3sala[c],C00606
280,3sala[m],C00606
281,3snpyr[c],C05527
282,3snpyr[m],C05527
283,3spyr[c],C05528
284,3spyr[m],C05528
285,3tdcrn[c],[]
286,3tdcrn[e],[]
287,3tetd7ecoa[c],[]
288,3tetd7ecoa[m],[]
289,3tetd7ecoacrn[c],[]
290,3tetd7ecoacrn[e],[]
291,3thexddcoa[c],[]
292,3thexddcoa[m],[]
293,3thexddcoacrn[c],[]
294,3thexddcoacrn[e],[]
295,3ttetddcoa[c],[]
296,3ttetddcoa[m],[]
297,3ttetddcoacrn[c],[]
298,3ttetddcoacrn[e],[]
299,3uib[c],C05100
300,3ump[c],C01368
301,3ump[e],C01368
302,42A3HP24DB[c],C05645
303,44mctr[c],C11455
304,44mctr[r],C11455
305,44mzym[r],C05108
306,46dhoxquin[c],C05639
307,48dhoxquin[c],C05637
308,4aabutn[c],C02946
309,4aabutn[m],C02946
310,4abut[c],C00334
311,4abut[e],C00334
312,4abut[l],C00334
313,4abut[m],C00334
314,4abut[n],C00334
315,4abutn[c],C00555
316,4abutn[e],C00555
317,4abutn[m],C00555
318,4aphdob[c],C01252
319,4fumacac[c],C01061
320,4h2oglt[c],C01127
321,4h2oglt[m],C01127
322,4hbz[m],C00156
323,4hbzcoa[m],C02949
324,4hdebrisoquine[c],[]
325,4hdebrisoquine[e],[]
326,4hexdtetcoa[m],[]
327,4hexdtetcoa[x],[]
328,4hexdtricoa[m],[]
329,4hexdtricoa[x],[]
330,4hglusa[m],C05938
331,4hoxpacd[c],C03765
332,4hphac[c],C00642
333,4hphac[e],C00642
334,4hpro_LT[c],C01157
335,4hpro_LT[e],C01157
336,4hpro_LT[m],C01157
337,4hpro_LT[r],C01157
338,4izp[c],C03680
339,4mlacac[c],C01036
340,4mop[c],C00233
341,4mop[e],C00233
342,4mop[m],C00233
343,4mptnl[c],C02373
344,4mptnl[e],C02373
345,4mptnl[m],C02373
346,4mptnl[r],C02373
347,4mtolbutamide[c],[]
348,4mtolbutamide[e],[]
349,4mzym_int1[r],C15808
350,4mzym_int2[r],C15816
351,4nph[c],C00870
352,4nph[e],C00870
353,4nphsf[c],C00186
354,4nphsf[e],C00186
355,4ppan[c],C03492
356,4ppan[m],C03492
357,4ppcys[c],C04352
358,4ppcys[m],C04352
359,4pyrdx[c],C00847
360,4pyrdx[e],C00847
361,4tmeabut[c],C01149
362,4tmeabut[m],C01149
363,4tmeabutn[c],C01181
364,56dihindlcrbxlt[c],C04185
365,56dthm[c],C00906
366,56dthm[m],C00906
367,56dura[c],C00429
368,5a2opntn[x],C01110
369,5adtststerone[c],C03917
370,5adtststerone[e],C03917
371,5adtststerone[l],C03917
372,5adtststerone[m],C03917
373,5adtststerone[r],C03917
374,5adtststeroneglc[c],C03033
375,5adtststeroneglc[e],C03033
376,5adtststeroneglc[r],C03033
377,5adtststerones[c],CE6032
378,5adtststerones[e],CE6032
379,5adtststerones[l],CE6032
380,5adtststerones[r],CE6032
381,5aizc[c],C04751
382,5aop[c],C00430
383,5aop[m],C00430
384,5dhf[c],[]
385,5dhf[e],[]
386,5dhf[l],[]
387,5dhf[m],[]
388,5dpmev[c],C01143
389,5dpmev[x],C01143
390,5eipencoa[m],[]
391,5forthf[c],C00664
392,5fthf[c],C03479
393,5fthf[e],C03479
394,5fthf[m],C03479
395,5g2oxpt[x],C03771
396,5homeprazole[c],[]
397,5homeprazole[e],[]
398,5hoxindact[c],C05634
399,5hoxindact[m],C05634
400,5hoxindoa[c],C05635
401,5hoxindoa[m],C05635
402,5hoxnfkyn[c],C05648
403,5HPET[c],C05356
404,5HPET[r],C05356
405,5htrp[c],C00643
406,5htrp[e],C00643
407,5hxkyn[c],C05651
408,5hxkynam[c],C05638
409,5mdr1p[c],C04188
410,5mdru1p[c],C04582
411,5moxact[c],C05660
412,5mta[c],C00170
413,5mta[e],C00170
414,5mthf[c],C00440
415,5mthf[e],C00440
416,5mthf[n],C00440
417,5mthf[r],C00440
418,5oxpro[c],C01879
419,5oxpro[e],C01879
420,5pmev[c],C01107
421,5pmev[x],C01107
422,5tedtricoa[m],[]
423,5tedtricoa[x],[]
424,5thf[c],[]
425,5thf[e],[]
426,5thf[l],[]
427,5thf[m],[]
428,6a2ohxnt[x],C03239
429,6dhf[c],[]
430,6dhf[e],[]
431,6dhf[l],[]
432,6dhf[m],[]
433,6hoxmelatn[c],C05643
434,6htststerone[c],C14497
435,6htststerone[e],C14497
436,6htststerone[r],C14497
437,6pgc[c],C00345
438,6pgc[r],C00345
439,6pgl[c],C01236
440,6pgl[r],C01236
441,6pthp[c],C03684
442,6pthp[n],C03684
443,6thf[c],[]
444,6thf[e],[]
445,6thf[l],[]
446,6thf[m],[]
447,7dhchsterol[c],C01164
448,7dhchsterol[r],C01164
449,7dhf[c],[]
450,7dhf[e],[]
451,7dhf[l],[]
452,7dhf[m],[]
453,7thf[c],[]
454,7thf[e],[]
455,7thf[l],[]
456,7thf[m],[]
457,9_cis_retfa[c],[]
458,9_cis_retfa[e],[]
459,aacoa[c],C00332
460,aacoa[m],C00332
461,aacoa[x],C00332
462,aact[c],C01888
463,aact[m],C01888
464,abt[c],C00532
465,abt[e],C00532
466,ac[c],C00033
467,ac[e],C00033
468,ac[g],C00033
469,ac[m],C00033
470,ac[r],C00033
471,acac[c],C00164
472,acac[e],C00164
473,acac[m],C00164
474,acac[x],C00164
475,acACP[c],[]
476,acald[c],C00084
477,acald[e],C00084
478,acald[m],C00084
479,acald[r],C00084
480,acald[x],C00084
481,accoa[c],C00024
482,accoa[g],C00024
483,accoa[m],C00024
484,accoa[n],C00024
485,accoa[r],C00024
486,accoa[x],C00024
487,acetol[c],C05235
488,acetone[c],C00207
489,acetone[e],C00207
490,acetone[m],C00207
491,acg5p[m],C04133
492,acg5sa[m],C01250
493,acgagbside_hs[c],[]
494,acgagbside_hs[g],[]
495,acgagbside_hs[l],[]
496,acgal[c],C01132
497,acgal[g],C01132
498,acgal[l],C01132
499,acgal1p[c],[]
500,acgalfuc12gal14acglcgalgluside_hs[g],[]
501,acgalfucgalacgalfuc12gal14acglcgalgluside_hs[c],[]
502,acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],[]
503,acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g],[]
504,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[c],[]
505,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],[]
506,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g],[]
507,acgalfucgalacglcgal14acglcgalgluside_hs[g],[]
508,acgalfucgalacglcgalgluside_hs[g],[]
509,acgam[c],C00140
510,acgam[e],C00140
511,acgam[l],C00140
512,acgam[r],C00140
513,acgam1p[c],C04256
514,acgam6p[c],C00357
515,acgbgbside_hs[c],[]
516,acgbgbside_hs[g],[]
517,acgbgbside_hs[l],[]
518,acglc13galacglcgal14acglcgalgluside_hs[g],[]
519,acglcgal14acglcgalgluside_hs[g],[]
520,acglcgalacglcgal14acglcgalgluside_hs[g],[]
521,acglcgalgbside_hs[g],[]
522,acglcgalgluside_hs[g],[]
523,acglu[m],C00624
524,acgpail_hs[c],C01288
525,ach[c],C01996
526,ach[e],C01996
527,ach[n],C01996
528,acmana[c],C00645
529,acmana[e],C00645
530,acmana[r],C00645
531,acmanap[c],C04257
532,acn13acngalgbside_hs[c],[]
533,acn13acngalgbside_hs[e],[]
534,acn13acngalgbside_hs[g],[]
535,acn23acngalgbside_hs[c],[]
536,acn23acngalgbside_hs[e],[]
537,acn23acngalgbside_hs[g],[]
538,acnacngal14acglcgalgluside_hs[c],[]
539,acnacngal14acglcgalgluside_hs[e],[]
540,acnacngal14acglcgalgluside_hs[g],[]
541,acnacngalgbside_hs[c],[]
542,acnacngalgbside_hs[e],[]
543,acnacngalgbside_hs[g],[]
544,acnam[c],C00270
545,acnam[l],C00270
546,acnam[n],C00270
547,acnamp[c],C06241
548,acngal14acglcgalgluside_hs[g],[]
549,acngalacglcgal14acglcgalgluside_hs[c],[]
550,acngalacglcgal14acglcgalgluside_hs[e],[]
551,acngalacglcgal14acglcgalgluside_hs[g],[]
552,acngalacglcgalgluside_hs[g],[]
553,acngalgbside_hs[g],[]
554,acorn[c],C00437
555,ACP[c],C00229
556,ACP[m],C00229
557,acrn[c],C02571
558,acrn[m],C02571
559,acrn[r],C02571
560,acrn[x],C02571
561,acryl[c],C00511
562,ade[c],C00147
563,ade[e],C00147
564,ade[l],C00147
565,adhap_hs[c],[]
566,adhap_hs[x],[]
567,adn[c],C00212
568,adn[e],C00212
569,adn[l],C00212
570,adn[m],C00212
571,adocbl[c],C00194
572,adocbl[e],C00194
573,adocbl[m],C00194
574,adp[c],C00008
575,adp[e],C00008
576,adp[g],C00008
577,adp[l],C00008
578,adp[m],C00008
579,adp[n],C00008
580,adp[r],C00008
581,adp[x],C00008
582,adpac[c],C06104
583,adpac[x],C06104
584,adpcoa[c],C14143
585,adpcoa[x],C14143
586,adpglc[c],C00498
587,adpman[c],C06192
588,adprbp[c],C03246
589,adprbp[e],C03246
590,adprib[c],C00301
591,adprib[e],C00301
592,adprib[m],C00301
593,adrn[c],C16527
594,adrn[e],C16527
595,adrn[x],C16527
596,adrncoa[c],C16170
597,adrncoa[m],C16170
598,adrncoa[x],C16170
599,adrncrn[c],[]
600,adrncrn[m],[]
601,adrnl[c],C00788
602,adrnl[e],C00788
603,adsel[c],C05686
604,aflatoxin[c],C06800
605,aflatoxin[e],C06800
606,agm[m],C00179
607,ahandrostan[r],C04373
608,ahandrostanglc[c],C11136
609,ahandrostanglc[e],C11136
610,ahandrostanglc[r],C11136
611,ahcys[c],C00021
612,ahcys[e],C00021
613,ahcys[m],C00021
614,ahcys[n],C00021
615,ahcys[r],C00021
616,ahdt[c],C04895
617,ahdt[e],C04895
618,ahdt[n],C04895
619,aicar[c],C04677
620,aicar[e],C04677
621,air[c],C03373
622,ak2g_hs[c],[]
623,ak2gchol_hs[c],C05212
624,ak2gp_hs[c],C05977
625,ak2gpe_hs[c],[]
626,ak2lgchol_hs[c],C04317
627,ak2lgchol_hs[e],C04317
628,akdhap_hs[c],[]
629,akdhap_hs[x],[]
630,akg[c],C00026
631,akg[e],C00026
632,akg[m],C00026
633,akg[r],C00026
634,akg[x],C00026
635,akgp_hs[c],C03715
636,ala_B[c],C00099
637,ala_B[e],C00099
638,ala_B[m],C00099
639,ala_D[c],C00133
640,ala_D[e],C00133
641,ala_D[l],C00133
642,ala_D[x],C00133
643,ala_L[c],C00041
644,ala_L[e],C00041
645,ala_L[l],C00041
646,ala_L[m],C00041
647,ala_L[x],C00041
648,alaala[c],C00993
649,alaala[e],C00993
650,aldstrn[c],C01780
651,aldstrn[e],C01780
652,aldstrn[m],C01780
653,alkylR1oh[x],[]
654,alltn[c],C01551
655,alltt[c],C00499
656,alpa_hs[c],C05453
657,alpa_hs[m],C05453
658,alpam[m],[]
659,alpro[m],C01242
660,am6sa[c],C03824
661,amet[c],C00019
662,amet[m],C00019
663,amet[n],C00019
664,amet[r],C00019
665,ametam[c],C01137
666,amp[c],C00020
667,amp[e],C00020
668,amp[g],C00020
669,amp[l],C00020
670,amp[m],C00020
671,amp[r],C00020
672,amp[x],C00020
673,amuco[c],C02220
674,andrstandn[r],C00674
675,andrstndn[c],C00280
676,andrstndn[m],C00280
677,andrstndn[r],C00280
678,andrstrn[c],C00523
679,andrstrn[e],C00523
680,andrstrn[l],C00523
681,andrstrn[r],C00523
682,andrstrnglc[c],C11135
683,andrstrnglc[e],C11135
684,andrstrnglc[r],C11135
685,anth[c],C00108
686,anth[e],C00108
687,antipyrene[c],C13244
688,antipyrene[e],C13244
689,ap4a[c],C01260
690,apnnox[c],C02759
691,apnnox[e],C02759
692,apoC[c],[]
693,apoC[m],[]
694,apoC_Lys[c],[]
695,apoC_Lys[m],[]
696,apoC_Lys_btn[c],[]
697,apoC_Lys_btn[m],[]
698,appnn[c],C09880
699,appnn[e],C09880
700,aprgstrn[c],C04042
701,aprgstrn[e],C04042
702,aprut[c],C02714
703,aps[c],C00224
704,aqcobal[c],C00992
705,aqcobal[e],C00992
706,arab_L[c],C00259
707,arab_L[e],C00259
708,arach[c],CE0102
709,arach[e],CE0102
710,arach[m],CE0102
711,arach[x],CE0102
712,arachcoa[c],C02041
713,arachcoa[e],C02041
714,arachcoa[m],C02041
715,arachcoa[x],C02041
716,arachcrn[c],[]
717,arachcrn[m],[]
718,arachd[c],C00219
719,arachd[e],C00219
720,arachd[l],C00219
721,arachd[r],C00219
722,arachd[x],C00219
723,arachdcoa[c],C02249
724,arachdcoa[m],C02249
725,arachdcoa[r],C02249
726,arachdcoa[x],C02249
727,arachdcrn[c],[]
728,arachdcrn[m],[]
729,arachdcrn[r],[]
730,arachdcrn[x],[]
731,arg_D[x],C00792
732,arg_L[c],C00062
733,arg_L[e],C00062
734,arg_L[l],C00062
735,arg_L[m],C00062
736,argsuc[c],C03406
737,ascb_L[c],C00072
738,ascb_L[e],C00072
739,asn_L[c],C00152
740,asn_L[e],C00152
741,asn_L[l],C00152
742,asn_L[m],C00152
743,Asn_X_Ser_Thr[l],[]
744,Asn_X_Ser_Thr[r],[]
745,asp_D[c],C00402
746,asp_D[e],C00402
747,asp_D[x],C00402
748,asp_L[c],C00049
749,asp_L[e],C00049
750,asp_L[l],C00049
751,asp_L[m],C00049
752,atp[c],C00002
753,atp[e],C00002
754,atp[g],C00002
755,atp[l],C00002
756,atp[m],C00002
757,atp[n],C00002
758,atp[r],C00002
759,atp[x],C00002
760,avite1[c],C02477
761,avite1[e],C02477
762,avite1[r],C02477
763,avite2[c],C14153
764,avite2[e],C14153
765,avite2[r],C14153
766,b2coa[m],C00877
767,b2coa[x],C00877
768,bamppald[c],C05665
769,bamppald[m],C05665
770,bdg2hc[c],C05839
771,betald[c],C00576
772,betald[m],C00576
773,bglc[e],[]
774,bgly[c],C01586
775,bhb[c],C01089
776,bhb[e],C01089
777,bhb[m],C01089
778,bildglcur[c],C05787
779,bildglcur[e],C05787
780,bildglcur[r],C05787
781,bilglcur[c],C03374
782,bilglcur[e],C03374
783,bilglcur[r],C03374
784,bilirub[c],C00486
785,bilirub[e],C00486
786,bilirub[r],C00486
787,biliverd[c],C00500
788,biocyt[c],C05552
789,biocyt[e],C05552
790,biocyt[m],C05552
791,biocyt[n],C05552
792,btamp[c],C05921
793,btamp[m],C05921
794,btcoa[c],C00136
795,btcoa[m],C00136
796,btcoa[x],C00136
797,btn[c],C00120
798,btn[e],C00120
799,btn[m],C00120
800,btn[n],C00120
801,but[c],C00246
802,but[e],C00246
803,but[m],C00246
804,bvite[c],C14152
805,bvite[e],C14152
806,bz[c],C00180
807,bz[e],C00180
808,bz[r],C00180
809,C01041[c],C01041
810,C01241[c],C01241
811,C01241[m],C01241
812,C01241[r],C01241
813,C01264[c],C01264
814,C01290[c],C01290
815,C01290[g],C01290
816,C01507[c],C01507
817,C01601[c],C01601
818,C01747[c],C01747
819,C01747[g],C01747
820,C01747[l],C01747
821,C01836[c],C01836
822,C01836[m],C01836
823,C02147[c],C02147
824,C02356[c],C02356
825,C02442[c],C02442
826,C02469[c],C02469
827,C02470[c],C02470
828,C02470[e],C02470
829,C02470[m],C02470
830,C02528[c],C02528
831,C02528[e],C02528
832,C02528[m],C02528
833,C02528[r],C02528
834,C02528[x],C02528
835,C02592[x],C02592
836,C02712[c],C02712
837,C02712[m],C02712
838,C02744[c],C02744
839,C02744[g],C02744
840,C03372[c],C03372
841,C03405[c],C03405
842,C03405[g],C03405
843,C03413[c],C03413
844,C03413[x],C03413
845,C03577[x],C03577
846,C03681[c],C03681
847,C03693[c],C03693
848,C03820[c],C03820
849,C03958[c],C03958
850,C03968[c],C03968
851,C03990[r],C03990
852,C03990[x],C03990
853,C04295[c],C04295
854,C04295[m],C04295
855,C04295[r],C04295
856,C04308[c],C04308
857,C04308[m],C04308
858,C04308[r],C04308
859,C04483[c],C04483
860,C04483[r],C04483
861,C04685[m],C04685
862,C04685[r],C04685
863,C04717[c],C04717
864,C04805[c],C04805
865,C04805[m],C04805
866,C04805[n],C04805
867,C04805[r],C04805
868,C04805[x],C04805
869,C04843[c],C04843
870,C04843[r],C04843
871,C04843[x],C04843
872,C04849[c],C04849
873,C04849[e],C04849
874,C04849[m],C04849
875,C04849[n],C04849
876,C04849[r],C04849
877,C04849[x],C04849
878,C04853[c],C04853
879,C04853[m],C04853
880,C04853[r],C04853
881,C05109[c],C05109
882,C05279[m],C05279
883,C05279[x],C05279
884,C05280[m],C05280
885,C05280[x],C05280
886,C05284[c],C05284
887,C05284[m],C05284
888,C05284[r],C05284
889,C05298[c],C05298
890,C05298[l],C05298
891,C05298[r],C05298
892,C05299[c],C05299
893,C05299[r],C05299
894,C05300[c],C05300
895,C05300[r],C05300
896,C05301[c],C05301
897,C05301[r],C05301
898,C05302[c],C05302
899,C05463[c],C05463
900,C05463[x],C05463
901,C05708[c],C05708
902,C05708[r],C05708
903,C05767[c],C05767
904,C05769[c],C05769
905,C05770[c],C05770
906,C05953[m],C05953
907,C05953[r],C05953
908,C05957[c],C05957
909,C05957[m],C05957
910,C05957[r],C05957
911,C05965[c],C05965
912,C05965[e],C05965
913,C05965[m],C05965
914,C05965[n],C05965
915,C06199[c],C06199
916,C06199[g],C06199
917,C06199[l],C06199
918,C06314[c],C06314
919,C06314[r],C06314
920,C06314[x],C06314
921,C06315[c],C06315
922,C06315[n],C06315
923,C06315[r],C06315
924,C06315[x],C06315
925,C06350[c],C06350
926,C06439[n],C06439
927,C06453[c],C06453
928,C06948[c],C06948
929,C06948[r],C06948
930,C07296[x],C07296
931,C07297[x],C07297
932,C07486[c],C07486
933,C07486[r],C07486
934,C07535[c],C07535
935,C07535[r],C07535
936,C08261[c],C08261
937,C08276[c],C08276
938,C08281[c],C08281
939,C08281[m],C08281
940,C08281[x],C08281
941,C09209[c],C09209
942,C09640[c],C09640
943,C09642[c],C09642
944,C10164[c],C10164
945,c101coa[c],[]
946,c101crn[c],[]
947,c101crn[e],[]
948,c10crn[c],C03299
949,c10crn[e],C03299
950,c10dc[c],[]
951,c10dc[e],[]
952,c10dc[x],[]
953,C11304[c],C11304
954,C11304[m],C11304
955,C11304[r],C11304
956,C11695[c],C11695
957,C11821[c],C11821
958,c12dc[c],[]
959,c12dc[e],[]
960,c12dc[x],[]
961,c12dccoa[c],[]
962,c12dccoa[x],[]
963,C13856[c],C13856
964,C13856[g],C13856
965,C13856[r],C13856
966,C14768[c],C14768
967,C14768[r],C14768
968,C14769[c],C14769
969,C14769[r],C14769
970,C14770[c],C14770
971,C14770[r],C14770
972,C14771[c],C14771
973,C14771[r],C14771
974,C14825[c],C14825
975,C14825[r],C14825
976,C14826[c],C14826
977,C14826[r],C14826
978,C14849[c],C14849
979,C14849[r],C14849
980,C14849[x],C14849
981,C14851[c],C14851
982,C14851[r],C14851
983,C14851[x],C14851
984,c14dccoa[x],[]
985,c16dc[c],[]
986,c16dc[e],[]
987,c226coa[c],C16169
988,c226coa[m],C16169
989,c226coa[x],C16169
990,c226crn[c],[]
991,c226crn[m],[]
992,c2m26dcoa[m],C11946
993,c2m26dcoa[x],C11946
994,c3dc[c],[]
995,c3dc[e],[]
996,c4crn[c],C02862
997,c4crn[e],C02862
998,c4crn[m],C02862
999,c4crn[x],C02862
1000,c4dc[c],[]
1001,c4dc[e],[]
1002,c4dc[x],[]
1003,c51crn[c],[]
1004,c51crn[e],[]
1005,c5dc[c],[]
1006,c5dc[e],[]
1007,c6crn[c],[]
1008,c6crn[e],[]
