compoundExRef_id,compoundExRef_idtype,compoundExRef_idvalue,compound_id,compoundExRef_primary
4663,EHMN,C00002,754,1
4664,HMDB,HMDB00538,754,1
4665,InChi Key,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,754,1
4666,CheBI,15422,755,1
4668,CheBI,30616,755,0
4669,KEGG,C00002,755,1
4671,KEGG,D08646,755,0
4672,PubChem,5957,755,1
4678,PubChem,238,755,0
4679,PubChem,5461108,755,0
4680,HepatoNet,HC00012,755,1
4681,EHMN,C00002,755,1
4682,HMDB,HMDB00538,755,1
4683,InChi Key,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,755,1
4684,CheBI,15422,756,1
4685,CheBI,57299,756,0
4686,CheBI,30616,756,0
4687,KEGG,C00002,756,1
4689,KEGG,D08646,756,0
4690,PubChem,5957,756,1
4696,PubChem,238,756,0
4697,PubChem,5461108,756,0
4698,HepatoNet,HC00012,756,1
4699,EHMN,C00002,756,1
4700,HMDB,HMDB00538,756,1
4701,InChi Key,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,756,1
4702,CheBI,15422,757,1
4704,CheBI,30616,757,0
4705,KEGG,C00002,757,1
4707,KEGG,D08646,757,0
4708,PubChem,5957,757,1
4714,PubChem,238,757,0
4715,PubChem,5461108,757,0
4716,HepatoNet,HC00012,757,1
4717,EHMN,C00002,757,1
4718,HMDB,HMDB00538,757,1
4719,InChi Key,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,757,1
4720,CheBI,15422,758,1
4722,CheBI,30616,758,0
4723,KEGG,C00002,758,1
4725,KEGG,D08646,758,0
4726,PubChem,5957,758,1
4732,PubChem,238,758,0
4733,PubChem,5461108,758,0
4734,HepatoNet,HC00012,758,1
4735,EHMN,C00002,758,1
4736,HMDB,HMDB00538,758,1
4737,InChi Key,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,758,1
4738,CheBI,15422,759,1
4740,CheBI,30616,759,0
4741,KEGG,C00002,759,1
4743,KEGG,D08646,759,0
4744,PubChem,5957,759,1
4750,PubChem,238,759,0
4751,PubChem,5461108,759,0
4752,HepatoNet,HC00012,759,1
4753,EHMN,C00002,759,1
4754,HMDB,HMDB00538,759,1
4755,InChi Key,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,759,1
4756,CheBI,18145,760,1
4757,KEGG,C02477,760,1
4758,PubChem,14985,760,1
4759,HMDB,HMDB01893,760,1
4760,LMSD,LMPR02020001,760,1
4761,InChi Key,GVJHHUAWPYXKBD-IEOSBIPESA-N,760,1
4762,CheBI,18145,761,1
4763,KEGG,C02477,761,1
4764,PubChem,14985,761,1
4765,HMDB,HMDB01893,761,1
4766,LMSD,LMPR02020001,761,1
4767,InChi Key,GVJHHUAWPYXKBD-IEOSBIPESA-N,761,1
4768,CheBI,18145,762,1
4769,KEGG,C02477,762,1
4770,PubChem,14985,762,1
4771,EHMN,C02477,762,1
4772,HMDB,HMDB01893,762,1
4773,LMSD,LMPR02020001,762,1
4774,InChi Key,GVJHHUAWPYXKBD-IEOSBIPESA-N,762,1
4775,CheBI,33270,763,1
4776,KEGG,C14153,763,1
4777,PubChem,5282347,763,1
4778,EHMN,C14153,763,1
4779,HMDB,HMDB06327,763,1
4780,LMSD,LMPR02020054,763,1
4781,InChi Key,RZFHLOLGZPDCHJ-GDLZYMKVSA-N,763,1
4782,CheBI,33270,764,1
4783,KEGG,C14153,764,1
4784,PubChem,5282347,764,1
4785,EHMN,C14153,764,1
4786,HMDB,HMDB06327,764,1
4787,LMSD,LMPR02020054,764,1
4788,InChi Key,RZFHLOLGZPDCHJ-GDLZYMKVSA-N,764,1
4789,CheBI,33270,765,1
4790,KEGG,C14153,765,1
4791,PubChem,5282347,765,1
4792,EHMN,C14153,765,1
4793,HMDB,HMDB06327,765,1
4794,LMSD,LMPR02020054,765,1
4795,InChi Key,RZFHLOLGZPDCHJ-GDLZYMKVSA-N,765,1
4796,CheBI,57332,766,1
4797,CheBI,15473,766,0
4798,CheBI,36926,766,0
4799,KEGG,C00877,766,1
4800,PubChem,5280381,766,1
4801,PubChem,45266565,766,0
4802,PubChem,5497143,766,0
4803,HepatoNet,HC00572,766,1
4804,EHMN,C00877,766,1
4805,HMDB,HMDB02009,766,1
4806,InChi Key,KFWWCMJSYSSPSK-CITAKDKDSA-N,766,1
4807,CheBI,57332,767,1
4808,CheBI,15473,767,0
4809,CheBI,36926,767,0
4810,KEGG,C00877,767,1
4811,PubChem,5280381,767,1
4812,PubChem,45266565,767,0
4813,PubChem,5497143,767,0
4814,HepatoNet,HC00572,767,1
4815,EHMN,C00877,767,1
4816,HMDB,HMDB02009,767,1
4817,InChi Key,KFWWCMJSYSSPSK-CITAKDKDSA-N,767,1
4818,CheBI,18090,768,1
4819,KEGG,C05665,768,1
4820,PubChem,75,768,1
4821,EHMN,C05665,768,1
4822,HMDB,HMDB01106,768,1
4823,InChi Key,PCXDJQZLDDHMGX-UHFFFAOYSA-N,768,1
4824,CheBI,18090,769,1
4825,KEGG,C05665,769,1
4826,PubChem,75,769,1
4827,EHMN,C05665,769,1
4828,HMDB,HMDB01106,769,1
4829,InChi Key,PCXDJQZLDDHMGX-UHFFFAOYSA-N,769,1
4830,CheBI,62251,770,1
4831,KEGG,C05839,770,1
4832,PubChem,5316113,770,1
4833,PubChem,5117619,770,0
4834,PubChem,5280759,770,0
4835,EHMN,C05839,770,1
4836,InChi Key,GVRIYIMNJGULCZ-TVKJYDDYSA-N,770,1
4837,CheBI,15710,771,1
4838,KEGG,C00576,771,1
4839,PubChem,249,771,1
4840,HepatoNet,HC00435,771,1
4841,EHMN,C00576,771,1
4842,HMDB,HMDB01252,771,1
4843,InChi Key,SXKNCCSPZDCRFD-UHFFFAOYSA-N,771,1
4844,CheBI,15710,772,1
4845,KEGG,C00576,772,1
4846,PubChem,249,772,1
4847,HepatoNet,HC00435,772,1
4848,EHMN,C00576,772,1
4849,HMDB,HMDB01252,772,1
4850,InChi Key,SXKNCCSPZDCRFD-UHFFFAOYSA-N,772,1
4851,CheBI,18089,774,1
4852,CheBI,606565,774,0
4853,KEGG,C01586,774,1
4854,PubChem,464,774,1
4855,PubChem,4402710,774,0
4856,EHMN,C01586,774,1
4857,HMDB,HMDB00714,774,1
4858,InChi Key,QIAFMBKCNZACKA-UHFFFAOYSA-N,774,1
4859,CheBI,17066,775,1
4860,CheBI,10983,775,0
4861,KEGG,C01089,775,1
4862,PubChem,6971058,775,1
4863,PubChem,92135,775,0
4864,HepatoNet,HC00661,775,1
4865,EHMN,C01089,775,1
4866,HMDB,HMDB00011,775,1
4867,LMSD,LMFA01050243,775,1
4868,InChi Key,WHBMMWSBFZVSSR-GSVOUGTGSA-N,775,1
4869,CheBI,17066,776,1
4870,CheBI,10983,776,0
4871,KEGG,C01089,776,1
4872,PubChem,6971058,776,1
4873,PubChem,92135,776,0
4874,HepatoNet,HC00661,776,1
4875,EHMN,C01089,776,1
4876,HMDB,HMDB00011,776,1
4877,LMSD,LMFA01050243,776,1
4878,InChi Key,WHBMMWSBFZVSSR-GSVOUGTGSA-N,776,1
4879,CheBI,17066,777,1
4880,CheBI,10983,777,0
4881,KEGG,C01089,777,1
4882,PubChem,6971058,777,1
4883,PubChem,92135,777,0
4884,HepatoNet,HC00661,777,1
4885,EHMN,C01089,777,1
4886,HMDB,HMDB00011,777,1
4887,LMSD,LMFA01050243,777,1
4888,InChi Key,WHBMMWSBFZVSSR-GSVOUGTGSA-N,777,1
4889,CheBI,18392,778,1
4890,KEGG,C05787,778,1
4891,PubChem,45266655,778,1
4892,PubChem,5280817,778,0
4893,HepatoNet,HC01616,778,1
4894,EHMN,C05787,778,1
4895,HMDB,HMDB03325,778,1
4896,InChi Key,SCJLWMXOOYZBTH-ISDVUUGPSA-N,778,1
4897,CheBI,18392,779,1
4898,KEGG,C05787,779,1
4899,PubChem,45266655,779,1
4900,PubChem,5280817,779,0
4901,HepatoNet,HC01616,779,1
4902,EHMN,C05787,779,1
4903,HMDB,HMDB03325,779,1
4904,InChi Key,SCJLWMXOOYZBTH-ISDVUUGPSA-N,779,1
4905,CheBI,18392,780,1
4906,KEGG,C05787,780,1
4907,PubChem,45266655,780,1
4908,PubChem,5280817,780,0
4909,HepatoNet,HC01616,780,1
4910,EHMN,C05787,780,1
4911,HMDB,HMDB03325,780,1
4912,InChi Key,SCJLWMXOOYZBTH-ISDVUUGPSA-N,780,1
4913,CheBI,57767,781,1
4914,KEGG,C03374,781,1
4915,PubChem,115116,781,1
4916,PubChem,46931084,781,0
4917,PubChem,440625,781,0
4918,PubChem,5280588,781,0
4919,EHMN,C03374,781,1
4920,InChi Key,ARBDURHEPGRPSR-OZKSMCSRSA-N,781,1
4921,CheBI,57767,782,1
4922,KEGG,C03374,782,1
4923,PubChem,115116,782,1
4924,PubChem,46931084,782,0
4925,PubChem,440625,782,0
4926,PubChem,5280588,782,0
4927,EHMN,C03374,782,1
4928,InChi Key,ARBDURHEPGRPSR-OZKSMCSRSA-N,782,1
4929,CheBI,57767,783,1
4930,KEGG,C03374,783,1
4931,PubChem,115116,783,1
4932,PubChem,46931084,783,0
4933,PubChem,440625,783,0
4934,PubChem,5280588,783,0
4935,EHMN,C03374,783,1
4936,InChi Key,ARBDURHEPGRPSR-OZKSMCSRSA-N,783,1
4937,CheBI,16990,784,1
4938,CheBI,57977,784,0
4939,KEGG,C00486,784,1
4940,PubChem,5280352,784,1
4941,PubChem,7067843,784,0
4942,HepatoNet,HC00385,784,1
4943,EHMN,C00486,784,1
4944,HMDB,HMDB00054,784,1
4945,InChi Key,BPYKTIZUTYGOLE-UHFFFAOYSA-N,784,1
4946,CheBI,16990,785,1
4947,CheBI,57977,785,0
4948,KEGG,C00486,785,1
4949,PubChem,5280352,785,1
4950,PubChem,7067843,785,0
4951,HepatoNet,HC00385,785,1
4952,EHMN,C00486,785,1
4953,HMDB,HMDB00054,785,1
4954,InChi Key,BPYKTIZUTYGOLE-UHFFFAOYSA-N,785,1
4955,CheBI,16990,786,1
4956,CheBI,57977,786,0
4957,KEGG,C00486,786,1
4958,PubChem,5280352,786,1
4959,PubChem,7067843,786,0
4960,HepatoNet,HC00385,786,1
4961,EHMN,C00486,786,1
4962,HMDB,HMDB00054,786,1
4963,InChi Key,BPYKTIZUTYGOLE-UHFFFAOYSA-N,786,1
4964,CheBI,17033,787,1
4965,KEGG,C00500,787,1
4966,PubChem,25245769,787,1
4967,PubChem,6323236,787,0
4968,PubChem,5280353,787,0
4969,EHMN,C00500,787,1
4970,HMDB,HMDB01008,787,1
4971,InChi Key,QBUVFDKTZJNUPP-UHFFFAOYSA-N,787,1
4972,CheBI,27870,788,1
4973,KEGG,C05552,788,1
4974,PubChem,83814,788,1
4975,PubChem,440721,788,0
4976,EHMN,C05552,788,1
4977,HMDB,HMDB03134,788,1
4978,InChi Key,BAQMYDQNMFBZNA-MNXVOIDGSA-N,788,1
4979,CheBI,27870,789,1
4980,KEGG,C05552,789,1
4981,PubChem,83814,789,1
4982,PubChem,440721,789,0
4983,EHMN,C05552,789,1
4984,HMDB,HMDB03134,789,1
4985,InChi Key,BAQMYDQNMFBZNA-MNXVOIDGSA-N,789,1
4986,CheBI,27870,790,1
4987,KEGG,C05552,790,1
4988,PubChem,83814,790,1
4989,PubChem,440721,790,0
4990,EHMN,C05552,790,1
4991,HMDB,HMDB03134,790,1
4992,InChi Key,BAQMYDQNMFBZNA-MNXVOIDGSA-N,790,1
4993,CheBI,27870,791,1
4994,KEGG,C05552,791,1
4995,PubChem,83814,791,1
4996,PubChem,440721,791,0
4997,EHMN,C05552,791,1
4998,HMDB,HMDB03134,791,1
4999,InChi Key,BAQMYDQNMFBZNA-MNXVOIDGSA-N,791,1
5000,CheBI,3110,792,1
5001,KEGG,C05921,792,1
5002,PubChem,5326875,792,1
5003,PubChem,11490041,792,0
5004,PubChem,656436,792,0
5005,PubChem,440839,792,0
5006,EHMN,C05921,792,1
5007,HMDB,HMDB04220,792,1
5008,InChi Key,UTQCSTJVMLODHM-RHCAYAJFSA-N,792,1
5009,CheBI,3110,793,1
5010,KEGG,C05921,793,1
5011,PubChem,5326875,793,1
5012,PubChem,11490041,793,0
5013,PubChem,656436,793,0
5014,PubChem,440839,793,0
5015,EHMN,C05921,793,1
5016,HMDB,HMDB04220,793,1
5017,InChi Key,UTQCSTJVMLODHM-RHCAYAJFSA-N,793,1
5018,CheBI,57371,794,1
5019,CheBI,15517,794,0
5020,KEGG,C00136,794,1
5021,PubChem,265,794,1
5022,HepatoNet,HC00134,794,1
5023,EHMN,C00136,794,1
5024,HMDB,HMDB01088,794,1
5025,InChi Key,CRFNGMNYKDXRTN-UHFFFAOYSA-N,794,1
5026,CheBI,57371,795,1
5027,CheBI,15517,795,0
5028,KEGG,C00136,795,1
5029,PubChem,265,795,1
5030,HepatoNet,HC00134,795,1
5031,EHMN,C00136,795,1
5032,HMDB,HMDB01088,795,1
5033,InChi Key,CRFNGMNYKDXRTN-UHFFFAOYSA-N,795,1
5034,CheBI,57371,796,1
5035,KEGG,C00136,796,1
5036,PubChem,265,796,1
5037,HMDB,HMDB01088,796,1
5038,InChi Key,CRFNGMNYKDXRTN-UHFFFAOYSA-N,796,1
5039,CheBI,15956,797,1
5040,KEGG,C00120,797,1
5041,KEGG,D00029,797,0
5042,PubChem,171548,797,1
5043,HMDB,HMDB00030,797,1
5044,InChi Key,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,797,1
5045,CheBI,15956,798,1
5046,KEGG,C00120,798,1
5047,KEGG,D00029,798,0
5048,PubChem,171548,798,1
5049,HMDB,HMDB00030,798,1
5050,InChi Key,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,798,1
5051,CheBI,15956,799,1
5052,CheBI,57586,799,0
5053,KEGG,C00120,799,1
5054,KEGG,D00029,799,0
5055,PubChem,171548,799,1
5056,PubChem,6560210,799,0
5057,EHMN,C00120,799,1
5058,HMDB,HMDB00030,799,1
5059,InChi Key,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,799,1
5060,CheBI,15956,800,1
5061,CheBI,57586,800,0
5062,KEGG,C00120,800,1
5063,KEGG,D00029,800,0
5064,PubChem,171548,800,1
5065,PubChem,6560210,800,0
5066,EHMN,C00120,800,1
5067,HMDB,HMDB00030,800,1
5068,InChi Key,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,800,1
5069,CheBI,30772,801,1
5070,CheBI,17968,801,0
5071,KEGG,C00246,801,1
5072,PubChem,264,801,1
5073,PubChem,104775,801,0
5074,HepatoNet,HC00223,801,1
5075,EHMN,C00246,801,1
5076,HMDB,HMDB00039,801,1
5077,LMSD,LMFA01010004,801,1
5078,InChi Key,FERIUCNNQQJTOY-UHFFFAOYSA-N,801,1
5079,CheBI,30772,802,1
5080,CheBI,17968,802,0
5081,KEGG,C00246,802,1
5082,PubChem,264,802,1
5083,PubChem,104775,802,0
5084,HepatoNet,HC00223,802,1
5085,EHMN,C00246,802,1
5086,HMDB,HMDB00039,802,1
5087,LMSD,LMFA01010004,802,1
5088,InChi Key,FERIUCNNQQJTOY-UHFFFAOYSA-N,802,1
5089,CheBI,30772,803,1
5090,CheBI,17968,803,0
5091,KEGG,C00246,803,1
5092,PubChem,264,803,1
5093,PubChem,104775,803,0
5094,HepatoNet,HC00223,803,1
5095,EHMN,C00246,803,1
5096,HMDB,HMDB00039,803,1
5097,LMSD,LMFA01010004,803,1
5098,InChi Key,FERIUCNNQQJTOY-UHFFFAOYSA-N,803,1
5099,CheBI,47771,804,1
5100,KEGG,C14152,804,1
5101,PubChem,6857447,804,1
5102,PubChem,8989,804,0
5103,HMDB,HMDB06335,804,1
5104,InChi Key,WGVKWNUPNGFDFJ-DQCZWYHMSA-N,804,1
5105,CheBI,47771,805,1
5106,KEGG,C14152,805,1
5107,PubChem,6857447,805,1
5108,PubChem,8989,805,0
5109,HMDB,HMDB06335,805,1
5110,InChi Key,WGVKWNUPNGFDFJ-DQCZWYHMSA-N,805,1
5111,CheBI,30746,806,1
5112,CheBI,16150,806,0
5113,CheBI,17754,806,0
5114,KEGG,C00180,806,1
5115,KEGG,C00539,806,0
5116,KEGG,C00116,806,0
5117,KEGG,D00038,806,0
5118,PubChem,242,806,1
5119,PubChem,753,806,0
5120,PubChem,243,806,0
5121,EHMN,C00180,806,1
5122,HMDB,HMDB01870,806,1
5123,InChi Key,WPYMKLBDIGXBTP-UHFFFAOYSA-N,806,1
5124,CheBI,30746,807,1
5125,CheBI,16150,807,0
5126,CheBI,17754,807,0
5127,KEGG,C00180,807,1
5128,KEGG,C00539,807,0
5129,KEGG,C00116,807,0
5130,KEGG,D00038,807,0
5131,PubChem,242,807,1
5132,PubChem,753,807,0
5133,PubChem,243,807,0
5134,EHMN,C00180,807,1
5135,HMDB,HMDB01870,807,1
5136,InChi Key,WPYMKLBDIGXBTP-UHFFFAOYSA-N,807,1
5137,CheBI,30746,808,1
5138,CheBI,16150,808,0
5139,CheBI,17754,808,0
5140,KEGG,C00180,808,1
5141,KEGG,C00539,808,0
5142,KEGG,C00116,808,0
5143,KEGG,D00038,808,0
5144,PubChem,242,808,1
5145,PubChem,753,808,0
5146,PubChem,243,808,0
5147,EHMN,C00180,808,1
5148,HMDB,HMDB01870,808,1
5149,InChi Key,WPYMKLBDIGXBTP-UHFFFAOYSA-N,808,1
5150,CheBI,59513,809,1
5151,KEGG,C01041,809,1
5152,PubChem,439374,809,1
5153,EHMN,C01041,809,1
5154,InChi Key,LHFJOBMTAJJOTB-DOAHDZERSA-N,809,1
5155,CheBI,15958,810,1
5156,KEGG,C01241,810,1
5157,EHMN,C01241,810,1
5158,CheBI,15958,811,1
5159,KEGG,C01241,811,1
5160,EHMN,C01241,811,1
5161,CheBI,15958,812,1
5162,KEGG,C01241,812,1
5163,EHMN,C01241,812,1
5164,CheBI,58191,813,1
5165,KEGG,C01264,813,1
5166,EHMN,C01264,813,1
5167,CheBI,17950,814,1
5168,KEGG,C01290,814,1
5169,EHMN,C01290,814,1
5170,HMDB,HMDB00173,814,1
5171,CheBI,17950,815,1
5172,KEGG,C01290,815,1
5173,EHMN,C01290,815,1
5174,HMDB,HMDB00173,815,1
5175,CheBI,18202,816,1
5176,KEGG,C01507,816,1
5177,PubChem,5460044,816,1
5178,EHMN,C01507,816,1
5179,HMDB,HMDB11632,816,1
5180,InChi Key,FBPFZTCFMRRESA-UNTFVMJOSA-N,816,1
5181,CheBI,29019,817,1
5182,CheBI,32361,817,0
5183,KEGG,C01601,817,1
5184,PubChem,8158,817,1
5185,PubChem,5461016,817,0
5186,EHMN,C01601,817,1
5187,HMDB,HMDB00847,817,1
5188,LMSD,LMFA01010009,817,1
5189,InChi Key,FBUKVWPVBMHYJY-UHFFFAOYSA-N,817,1
5190,CheBI,16874,818,1
5191,CheBI,57934,818,0
5192,KEGG,C01747,818,1
5193,PubChem,22833541,818,1
5194,EHMN,C01747,818,1
5195,HMDB,HMDB00648,818,1
5196,InChi Key,HHJTWTPUPVQKNA-ZTJQIGGLSA-N,818,1
5197,CheBI,16874,819,1
5198,CheBI,57934,819,0
5199,KEGG,C01747,819,1
5200,PubChem,22833541,819,1
5201,EHMN,C01747,819,1
5202,HMDB,HMDB00648,819,1
5203,InChi Key,HHJTWTPUPVQKNA-ZTJQIGGLSA-N,819,1
5204,CheBI,16874,820,1
5205,CheBI,57934,820,0
5206,KEGG,C01747,820,1
5207,PubChem,22833541,820,1
5208,EHMN,C01747,820,1
5209,HMDB,HMDB00648,820,1
5210,InChi Key,HHJTWTPUPVQKNA-ZTJQIGGLSA-N,820,1
5211,CheBI,7542,821,1
5212,KEGG,C01836,821,1
5213,PubChem,25078013,821,1
5214,EHMN,C01836,821,1
5215,InChi Key,PCJGZPGTCUMMOT-UHFFFAOYSA-N,821,1
5216,CheBI,7542,822,1
5217,KEGG,C01836,822,1
5218,PubChem,25078013,822,1
5219,EHMN,C01836,822,1
5220,InChi Key,PCJGZPGTCUMMOT-UHFFFAOYSA-N,822,1
5221,CheBI,18047,823,1
5222,CheBI,30316,823,0
5223,KEGG,C02147,823,1
5224,PubChem,421,823,1
5225,PubChem,5460324,823,0
5226,EHMN,C02147,823,1
5227,HMDB,HMDB12210,823,1
5228,InChi Key,IZFHEQBZOYJLPK-UHFFFAOYSA-N,823,1
5229,CheBI,35619,824,1
5230,CheBI,74359,824,0
5231,KEGG,C02356,824,1
5232,PubChem,80283,824,1
5233,PubChem,6971252,824,0
5234,EHMN,C02356,824,1
5235,HMDB,HMDB00452,824,1
5236,LMSD,LMFA01100034,824,1
5237,InChi Key,QWCKQJZIFLGMSD-VKHMYHEASA-N,824,1
5238,CheBI,17458,825,1
5239,CheBI,58155,825,0
5240,KEGG,C02442,825,1
5241,PubChem,9727,825,1
5242,PubChem,25202330,825,0
5243,EHMN,C02442,825,1
5244,HMDB,HMDB03633,825,1
5245,InChi Key,AXVZFRBSCNEKPQ-UHFFFAOYSA-N,825,1
5246,CheBI,15436,826,1
5247,KEGG,C02469,826,1
5248,PubChem,72423,826,1
5249,EHMN,C02469,826,1
5250,HMDB,HMDB00916,826,1
5251,InChi Key,VZVFNUAIRVUCEW-UJJXFSCMSA-N,826,1
5252,CheBI,217069,827,1
5253,KEGG,C02470,827,1
5254,PubChem,5699,827,1
5255,HepatoNet,HC00945,827,1
5256,EHMN,C02470,827,1
5257,HMDB,HMDB00881,827,1
5258,InChi Key,FBZONXHGGPHHIY-UHFFFAOYSA-N,827,1
5259,CheBI,217069,828,1
5260,KEGG,C02470,828,1
5261,PubChem,5699,828,1
5262,HepatoNet,HC00945,828,1
5263,EHMN,C02470,828,1
5264,HMDB,HMDB00881,828,1
5265,InChi Key,FBZONXHGGPHHIY-UHFFFAOYSA-N,828,1
5266,CheBI,217069,829,1
5267,KEGG,C02470,829,1
5268,PubChem,5699,829,1
5269,HepatoNet,HC00945,829,1
5270,EHMN,C02470,829,1
5271,HMDB,HMDB00881,829,1
5272,InChi Key,FBZONXHGGPHHIY-UHFFFAOYSA-N,829,1
5273,CheBI,16755,830,1
5274,CheBI,36234,830,0
5275,KEGG,C02528,830,1
5276,KEGG,D00163,830,0
5277,PubChem,10133,830,1
5278,PubChem,9548590,830,0
5279,HepatoNet,HC00958,830,1
5280,EHMN,C02528,830,1
5281,HMDB,HMDB00518,830,1
5282,LMSD,LMST04010032,830,1
5283,InChi Key,RUDATBOHQWOJDD-BSWAIDMHSA-N,830,1
5284,CheBI,16755,831,1
5285,CheBI,36234,831,0
5286,KEGG,C02528,831,1
5287,KEGG,D00163,831,0
5288,PubChem,10133,831,1
5289,PubChem,9548590,831,0
5290,HepatoNet,HC00958,831,1
5291,EHMN,C02528,831,1
5292,HMDB,HMDB00518,831,1
5293,LMSD,LMST04010032,831,1
5294,InChi Key,RUDATBOHQWOJDD-BSWAIDMHSA-N,831,1
5295,CheBI,16755,832,1
5296,CheBI,36234,832,0
5297,KEGG,C02528,832,1
5298,KEGG,D00163,832,0
5299,PubChem,10133,832,1
5300,PubChem,9548590,832,0
5301,HepatoNet,HC00958,832,1
5302,EHMN,C02528,832,1
5303,HMDB,HMDB00518,832,1
5304,LMSD,LMST04010032,832,1
5305,InChi Key,RUDATBOHQWOJDD-BSWAIDMHSA-N,832,1
5306,CheBI,16755,833,1
5307,CheBI,36234,833,0
5308,KEGG,C02528,833,1
5309,KEGG,D00163,833,0
5310,PubChem,10133,833,1
5311,PubChem,9548590,833,0
5312,HepatoNet,HC00958,833,1
5313,EHMN,C02528,833,1
5314,HMDB,HMDB00518,833,1
5315,LMSD,LMST04010032,833,1
5316,InChi Key,RUDATBOHQWOJDD-BSWAIDMHSA-N,833,1
5317,CheBI,16755,834,1
5318,CheBI,36234,834,0
5319,KEGG,C02528,834,1
5320,KEGG,D00163,834,0
5321,PubChem,10133,834,1
5322,PubChem,9548590,834,0
5323,HepatoNet,HC00958,834,1
5324,EHMN,C02528,834,1
5325,HMDB,HMDB00518,834,1
5326,LMSD,LMST04010032,834,1
5327,InChi Key,RUDATBOHQWOJDD-BSWAIDMHSA-N,834,1
5328,CheBI,36259,835,1
5329,KEGG,C02592,835,1
5330,PubChem,439763,835,1
5331,PubChem,9548567,835,0
5332,EHMN,C02592,835,1
5333,HMDB,HMDB00722,835,1
5334,LMSD,LMST05040003,835,1
5335,InChi Key,QBYUNVOYXHFVKC-GBURMNQMSA-N,835,1
5336,CheBI,21557,836,1
5337,KEGG,C02712,836,1
5338,PubChem,6180,836,1
5339,PubChem,448580,836,0
5340,EHMN,C02712,836,1
5341,HMDB,HMDB11745,836,1
5342,InChi Key,XUYPXLNMDZIRQH-UHFFFAOYSA-N,836,1
5343,CheBI,21557,837,1
5344,KEGG,C02712,837,1
5345,PubChem,6180,837,1
5346,PubChem,448580,837,0
5347,EHMN,C02712,837,1
5348,HMDB,HMDB11745,837,1
5349,InChi Key,XUYPXLNMDZIRQH-UHFFFAOYSA-N,837,1
5350,CheBI,17507,838,1
5351,KEGG,C02744,838,1
5352,PubChem,5280538,838,1
5353,PubChem,4476121,838,0
5354,EHMN,C02744,838,1
5355,HMDB,HMDB13046,838,1
5356,LMSD,LMSP08000002,838,1
5357,InChi Key,UIEYIJKBVSNMMH-ZTJQIGGLSA-N,838,1
5358,CheBI,17507,839,1
5359,KEGG,C02744,839,1
5360,PubChem,5280538,839,1
5361,PubChem,4476121,839,0
5362,EHMN,C02744,839,1
5363,HMDB,HMDB13046,839,1
5364,LMSD,LMSP08000002,839,1
5365,InChi Key,UIEYIJKBVSNMMH-ZTJQIGGLSA-N,839,1
5366,CheBI,57534,840,1
5367,KEGG,C03372,840,1
5368,EHMN,C03372,840,1
5369,KEGG,C03405,841,1
5370,EHMN,C03405,841,1
5371,KEGG,C03405,842,1
5372,EHMN,C03405,842,1
5373,CheBI,28101,843,1
5374,CheBI,58550,843,0
5375,KEGG,C03413,843,1
5376,PubChem,132680,843,1
5377,PubChem,44123436,843,0
5378,EHMN,C03413,843,1
5379,HMDB,HMDB02172,843,1
5380,InChi Key,NPDTUDWGJMBVEP-UHFFFAOYSA-N,843,1
5381,CheBI,28101,844,1
5382,CheBI,58550,844,0
5383,KEGG,C03413,844,1
5384,PubChem,132680,844,1
5385,PubChem,44123436,844,0
5386,EHMN,C03413,844,1
5387,HMDB,HMDB02172,844,1
5388,InChi Key,NPDTUDWGJMBVEP-UHFFFAOYSA-N,844,1
5389,CheBI,58584,845,1
5390,KEGG,C03577,845,1
5391,PubChem,25244791,845,1
5392,PubChem,5280606,845,0
5393,EHMN,C03577,845,1
5394,HMDB,HMDB02200,845,1
5395,InChi Key,BJRMBXPQAMDCMG-PCCBWWKXSA-N,845,1
5396,CheBI,28952,846,1
5397,KEGG,C03681,846,1
5398,PubChem,92810,846,1
5399,EHMN,C03681,846,1
5400,HMDB,HMDB03759,846,1
5401,LMSD,LMST02030170,846,1
5402,InChi Key,XMRPGKVKISIQBV-BJMCWZGWSA-N,846,1
5403,KEGG,C03693,847,1
5404,PubChem,3036654,847,1
5405,EHMN,C03693,847,1
5406,InChi Key,RWHOZGRAXYWRNX-PQMKYFCFSA-N,847,1
5407,CheBI,16291,848,1
5408,KEGG,C03820,848,1
5409,EHMN,C03820,848,1
5410,CheBI,35940,849,1
5411,KEGG,C03958,849,1
5412,KEGG,D00176,849,0
5413,PubChem,638678,849,1
5414,EHMN,C03958,849,1
5415,HMDB,HMDB05763,849,1
5416,InChi Key,XNSAINXGIQZQOO-SRVKXCTJSA-N,849,1
5417,CheBI,58014,850,1
5418,KEGG,C03968,850,1
5419,EHMN,C03968,850,1
5420,CheBI,16325,851,1
5421,KEGG,C03990,851,1
5422,PubChem,9903,851,1
5423,PubChem,5460318,851,0
5424,EHMN,C03990,851,1
5425,HMDB,HMDB00761,851,1
