compoundExRef_id,compoundExRef_idtype,compoundExRef_idvalue,compound_id,compoundExRef_primary
10699,HepatoNet,HC00113,2262,1
10700,EHMN,C00698,2262,1
10701,HMDB,HMDB00492,2262,1
10702,InChi Key,VEXZGXHMUGYJMC-UHFFFAOYSA-N,2262,1
10703,CheBI,17996,2263,1
10704,CheBI,17883,2263,0
10705,CheBI,23116,2263,0
10706,KEGG,C00698,2263,1
10707,KEGG,C01327,2263,0
10708,PubChem,312,2263,1
10709,PubChem,313,2263,0
10710,HepatoNet,HC00113,2263,1
10711,EHMN,C00698,2263,1
10712,HMDB,HMDB00492,2263,1
10713,InChi Key,VEXZGXHMUGYJMC-UHFFFAOYSA-N,2263,1
10714,CheBI,28494,2264,1
10715,CheBI,53488,2265,1
10716,KEGG,C16513,2265,1
10717,PubChem,5497182,2265,1
10718,HMDB,HMDB06528,2265,1
10719,LMSD,LMFA04000044,2265,1
10720,InChi Key,YUFFSWGQGVEMMI-UHFFFAOYSA-N,2265,1
10721,CheBI,53488,2266,1
10722,KEGG,C16513,2266,1
10723,PubChem,5497182,2266,1
10724,HMDB,HMDB06528,2266,1
10725,LMSD,LMFA04000044,2266,1
10726,InChi Key,YUFFSWGQGVEMMI-UHFFFAOYSA-N,2266,1
10727,KEGG,C16166,2267,1
10728,PubChem,53477812,2267,1
10729,HMDB,HMDB06267,2267,1
10730,InChi Key,NDRVWKXEWNMEEO-IKNWWIGSSA-N,2267,1
10731,KEGG,C16166,2268,1
10732,PubChem,53477812,2268,1
10733,HMDB,HMDB06267,2268,1
10734,InChi Key,NDRVWKXEWNMEEO-IKNWWIGSSA-N,2268,1
10735,KEGG,C16166,2269,1
10736,PubChem,53477812,2269,1
10737,HMDB,HMDB06267,2269,1
10738,InChi Key,NDRVWKXEWNMEEO-IKNWWIGSSA-N,2269,1
10739,HMDB,HMDB06496,2270,1
10740,InChi Key,AOSDFVDGMYPTHD-UHFFFAOYSA-N,2270,1
10741,HMDB,HMDB06496,2271,1
10742,InChi Key,AOSDFVDGMYPTHD-UHFFFAOYSA-N,2271,1
10743,CheBI,17361,2272,1
10744,CheBI,60377,2272,0
10745,KEGG,C00055,2272,1
10746,PubChem,6131,2272,1
10747,PubChem,7058165,2272,0
10748,HepatoNet,HC00060,2272,1
10749,EHMN,C00055,2272,1
10750,HMDB,HMDB00095,2272,1
10751,InChi Key,IERHLVCPSMICTF-XVFCMESISA-N,2272,1
10752,CheBI,17361,2273,1
10753,CheBI,60377,2273,0
10754,KEGG,C00055,2273,1
10755,PubChem,6131,2273,1
10756,PubChem,7058165,2273,0
10757,HepatoNet,HC00060,2273,1
10758,EHMN,C00055,2273,1
10759,HMDB,HMDB00095,2273,1
10760,InChi Key,IERHLVCPSMICTF-XVFCMESISA-N,2273,1
10761,CheBI,17361,2274,1
10762,CheBI,60377,2274,0
10763,KEGG,C00055,2274,1
10764,PubChem,6131,2274,1
10765,PubChem,7058165,2274,0
10766,HepatoNet,HC00060,2274,1
10767,EHMN,C00055,2274,1
10768,HMDB,HMDB00095,2274,1
10769,InChi Key,IERHLVCPSMICTF-XVFCMESISA-N,2274,1
10770,CheBI,17361,2275,1
10771,CheBI,60377,2275,0
10772,KEGG,C00055,2275,1
10773,PubChem,6131,2275,1
10774,PubChem,7058165,2275,0
10775,HepatoNet,HC00060,2275,1
10776,EHMN,C00055,2275,1
10777,HMDB,HMDB00095,2275,1
10778,InChi Key,IERHLVCPSMICTF-XVFCMESISA-N,2275,1
10779,CheBI,17361,2276,1
10780,CheBI,60377,2276,0
10781,KEGG,C00055,2276,1
10782,PubChem,6131,2276,1
10783,PubChem,7058165,2276,0
10784,HepatoNet,HC00060,2276,1
10785,EHMN,C00055,2276,1
10786,HMDB,HMDB00095,2276,1
10787,InChi Key,IERHLVCPSMICTF-XVFCMESISA-N,2276,1
